日期,总确诊数,新增确诊数,总治愈数,新增治愈数,总死亡数,新增死亡数
﻿2020年02.03,203,0,10,0,1,0
2020年02.06,257,14,25,15,1,0
2020年02.07,277,20,30,5,1,0
2020年02.08,286,9,41,11,1,0
2020年02.09,293,7,44,3,1,0
2020年02.10,302,7,48,4,1,0
2020年02.11,306,4,53,5,1,0
2020年02.12,313,7,57,4,1,0
2020年02.13,319,6,62,5,1,0
2020年02.14,326,8,90,28,1,0
2020年02.15,328,2,124,34,1,0
2020年02.16,331,3,140,16,1,0
2020年02.17,333,2,161,21,1,0
2020年02.18,333,0,177,16,1,0
2020年02.19,333,0,186,9,2,1
2020年02.20,334,1,199,13,2,0
2020年02.21,334,0,211,12,3,1
2020年02.22,335,1,227,16,3,0
2020年02.23,335,0,249,22,3,0
2020年02.24,335,0,261,12,3,0
2020年02.25,336,0,268,7,3,0
2020年02.26,337,1,272,4,3,0
2020年02.27,337,0,276,4,3,0
2020年02.28,337,0,279,3,3,0
2020年02.29,337,0,287,8,3,0
2020年03.01,337,0,292,5,3,0
2020年03.02,338,1,294,2,3,0
2020年03.03,338,0,298,4,3,0
2020年03.04,339,1,303,5,3,0
2020年03.05,342,3,306,3,3,0
2020年03.06,342,0,313,7,3,0
2020年03.07,342,0,314,1,3,0
2020年03.08,342,0,315,1,3,0
2020年03.09,344,2,319,4,3,0
2020年03.10,344,0,320,1,3,0
2020年03.11,344,0,321,1,3,0
2020年03.12,346,2,324,3,3,0
2020年03.13,350,4,324,0,3,0
2020年03.14,353,3,324,0,3,0
2020年03.15,355,2,325,1,3,0
2020年03.16,358,3,325,0,3,0
2020年03.17,361,3,325,0,3,0
2020年03.18,368,8,326,1,3,0
2020年03.19,371,8,326,0,3,0
2020年03.20,380,9,326,0,3,0
2020年03.21,394,14,328,2,3,0
2020年03.22,404,10,328,0,4,1
2020年03.23,414,10,329,1,4,0
2020年03.24,433,19,330,1,5,1
2020年03.25,451,18,330,0,5,0
2020年03.26,468,17,331,1,5,0
2020年03.27,485,17,334,3,5,0
2020年03.28,492,7,334,0,5,0
2020年03.29,498,6,334,0,5,0
2020年03.30,509,11,338,4,5,0
2020年03.31,516,7,341,3,6,1
2020年04.01,522,6,343,2,6,0
2020年04.02,526,4,343,0,6,0
2020年04.03,529,3,348,5,6,0
2020年04.04,531,2,356,8,6,0
2020年04.05,536,5,383,27,6,0
2020年04.06,538,2,389,6,6,0
2020年04.07,543,5,406,17,7,1
2020年04.08,552,9,417,11,7,0
2020年04.09,555,3,422,5,7,0
2020年04.10,555,0,435,13,7,0
2020年04.11,607,52,438,3,7,0
2020年04.12,618,11,446,8,7,0
2020年04.13,618,0,458,12,7,0
2020年04.14,622,4,468,10,7,0
2020年04.15,628,6,489,21,7,0
2020年04.16,628,0,512,23,7,0
2020年04.17,628,0,512,0,7,0
2020年04.18,635,7,521,9,7,0
2020年04.19,638,3,530,9,7,0
2020年04.20,638,0,530,0,7,0
2020年04.21,639,1,532,2,7,0
2020年04.22,640,1,533,1,7,0
2020年04.23,641,1,533,0,7,0
2020年04.24,641,0,547,14,7,0
2020年04.25,642,1,558,11,7,0
2020年04.26,642,0,568,10,7,0
2020年04.27,644,2,581,13,7,0
2020年04.28,645,1,584,3,7,0
2020年04.29,647,2,597,13,7,0
2020年04.30,652,5,599,2,7,0
2020年05.01,652,0,612,13,7,0
2020年05.02,653,1,613,1,7,0
2020年05.03,655,2,615,2,7,0
2020年05.04,656,1,619,4,7,0
2020年05.05,656,0,620,1,7,0
2020年05.06,657,1,620,0,7,0
2020年05.07,657,0,623,3,7,0
2020年05.08,657,0,623,0,7,0
2020年05.09,659,2,626,3,7,0
2020年05.10,659,0,627,1,7,0
2020年05.11,659,0,627,0,7,0
2020年05.12,660,1,631,4,7,0
2020年05.13,660,0,633,2,7,0
2020年05.14,660,0,638,5,7,0
2020年05.15,665,5,640,2,7,0
2020年05.16,665,0,641,1,7,0
2020年05.17,666,1,641,0,7,0
2020年05.18,666,0,641,0,7,0
2020年05.19,666,0,642,1,7,0
2020年05.20,667,1,645,3,7,0
2020年05.21,667,0,646,1,7,0
2020年05.22,667,0,647,1,7,0
2020年05.23,668,1,647,0,7,0
2020年05.24,668,0,648,1,7,0
2020年05.25,669,1,652,4,7,0
2020年05.26,670,1,653,1,7,0
2020年05.27,671,1,655,2,7,0
2020年05.28,671,0,655,0,7,0
2020年05.29,672,1,657,2,7,0
2020年05.30,672,0,657,0,7,0
2020年05.31,672,0,657,0,7,0
2020年06.01,673,1,660,3,7,0
2020年06.02,673,0,661,1,7,0
2020年06.03,673,0,661,0,7,0
2020年06.04,677,4,662,1,7,0
2020年06.05,677,0,663,1,7,0
2020年06.06,677,0,664,1,7,0
2020年06.07,678,1,664,0,7,0
2020年06.08,678,0,664,0,7,0
2020年06.09,678,0,665,1,7,0
2020年06.10,684,6,665,0,7,0
2020年06.11,689,5,666,1,7,0
2020年06.12,690,1,666,0,7,0
2020年06.13,691,1,666,0,7,0
2020年06.14,692,1,667,1,7,0
2020年06.15,695,3,667,0,7,0
2020年06.16,695,0,668,1,7,0
2020年06.17,697,2,668,0,7,0
2020年06.18,697,0,668,0,7,0
2020年06.19,698,1,668,0,7,0
2020年06.20,698,0,668,0,7,0
2020年06.21,701,3,668,0,7,0
2020年06.22,701,0,669,1,7,0
2020年06.23,703,2,669,0,7,0
2020年06.24,703,0,670,1,7,0
2020年06.25,705,2,672,2,7,0
2020年06.26,706,1,674,2,7,0
2020年06.27,707,1,675,1,7,0
2020年06.28,708,1,675,0,7,0
2020年06.29,712,4,675,0,7,0
2020年06.30,712,0,675,0,7,0
2020年07.01,713,1,677,2,7,0
2020年07.02,714,1,678,1,7,0
2020年07.03,715,1,681,3,7,0
2020年07.04,716,1,681,0,7,0
2020年07.05,716,0,681,0,7,0
2020年07.06,718,2,685,4,7,0
2020年07.07,718,0,688,3,7,0
2020年07.08,721,3,689,1,7,0
2020年07.09,722,1,689,0,7,0
2020年07.10,722,0,689,0,7,0
2020年07.11,724,2,689,0,7,0
2020年07.12,725,1,689,0,7,0
2020年07.13,728,3,690,1,7,0
2020年07.14,731,3,690,0,7,0
2020年07.15,732,1,691,1,7,0
2020年07.16,733,1,694,3,7,0
2020年07.17,733,0,699,5,7,0
2020年07.18,733,0,701,2,7,0
2020年07.19,733,0,706,5,7,0
2020年07.20,735,2,708,2,7,0
2020年07.21,737,2,709,1,7,0
2020年07.22,738,1,711,2,7,0
2020年07.23,739,1,712,1,7,0
2020年07.24,741,2,712,0,7,0
2020年07.25,741,0,716,4,7,0
2020年07.26,741,0,717,1,7,0
2020年07.27,743,2,718,1,7,0
2020年07.28,744,1,719,1,7,0
2020年07.29,744,0,719,0,7,0
2020年07.30,744,0,720,1,7,0
2020年07.31,748,4,722,2,7,0
2020年08.01,749,1,725,3,7,0
2020年08.02,749,0,725,0,7,0
2020年08.03,750,1,727,2,7,0
2020年08.04,752,2,727,0,7,0
2020年08.05,757,5,727,0,7,0
2020年08.06,764,7,728,1,7,0
2020年08.07,766,2,729,1,7,0
2020年08.08,768,2,730,1,7,0
2020年08.09,786,18,731,1,7,0
2020年08.10,794,8,734,3,7,0
2020年08.11,798,4,737,3,7,0
2020年08.12,800,2,737,0,7,0
2020年08.13,816,16,739,2,7,0
2020年08.14,820,4,740,1,7,0
2020年08.15,825,5,745,5,7,0
2020年08.16,828,3,749,4,7,0
2020年08.17,842,14,752,3,7,0
2020年08.18,850,8,754,2,7,0
2020年08.19,851,1,769,15,7,0
2020年08.20,862,11,777,8,7,0
2020年08.21,875,13,783,6,7,0
2020年08.22,875,0,786,3,7,0
2020年08.23,880,5,796,10,7,0
2020年08.24,882,2,799,3,7,0
2020年08.25,886,4,805,6,7,0
2020年08.26,888,2,807,2,7,0
2020年08.27,891,3,819,12,7,0
2020年08.28,894,3,826,7,7,0
2020年08.29,897,3,829,3,7,0
2020年08.30,903,6,835,6,7,0
2020年08.31,904,1,840,5,7,0
2020年09.01,908,4,842,2,7,0
2020年09.02,908,0,849,7,7,0
2020年09.03,913,5,854,5,7,0
2020年09.04,916,3,860,6,7,0
2020年09.05,918,2,866,6,7,0
2020年09.06,922,4,869,3,7,0
2020年09.07,922,0,872,3,7,0
2020年09.08,923,1,875,3,7,0
2020年09.09,929,6,877,2,7,0
2020年09.10,937,8,883,6,7,0
2020年09.11,939,2,887,4,7,0
2020年09.12,942,3,890,3,7,0
2020年09.13,947,5,897,7,7,0
2020年09.14,948,1,900,3,7,0
2020年09.15,950,2,904,4,7,0
2020年09.16,954,4,909,5,7,0
2020年09.17,966,12,909,0,7,0
2020年09.18,968,2,910,1,7,0
2020年09.19,972,4,916,6,7,0
2020年09.20,974,2,919,3,7,0
2020年09.21,975,1,923,4,7,0
2020年09.22,975,0,923,0,7,0
2020年09.23,977,2,926,3,7,0
2020年09.24,981,4,928,2,7,0
2020年09.25,981,0,932,4,7,0
2020年09.26,982,1,934,2,7,0
2020年09.27,992,10,936,2,7,0
2020年09.28,997,5,939,3,7,0
2020年09.29,999,2,942,3,7,0
2020年09.30,1006,7,947,5,7,0
2020年10.01,1007,1,950,3,7,0
2020年10.02,1011,4,953,3,7,0
2020年10.03,1012,1,955,2,7,0
2020年10.04,1022,10,957,2,7,0
2020年10.05,1024,2,958,1,7,0
2020年10.06,1025,1,960,2,7,0
2020年10.07,1030,5,966,6,7,0
2020年10.08,1036,6,971,5,7,0
2020年10.09,1038,2,976,5,7,0
2020年10.10,1048,10,980,4,7,0
2020年10.11,1053,5,981,1,7,0
2020年10.12,1056,3,985,4,7,0
2020年10.13,1061,5,988,3,7,0
2020年10.14,1064,3,993,5,7,0
2020年10.15,1075,11,996,3,7,0
2020年10.16,1080,5,997,1,7,0
2020年10.17,1085,5,1003,6,7,0
2020年10.18,1090,5,1011,8,7,0
2020年10.19,1095,5,1013,2,7,0
2020年10.20,1097,2,1021,8,7,0
2020年10.21,1105,8,1026,5,7,0
2020年10.22,1114,9,1028,2,7,0
2020年10.23,1123,9,1031,3,7,0
2020年10.24,1128,5,1034,3,7,0
2020年10.25,1139,11,1045,11,7,0
2020年10.26,1142,3,1046,1,7,0
2020年10.27,1149,7,1048,2,7,0
2020年10.28,1155,6,1049,1,7,0
2020年10.29,1168,13,1059,10,7,0
2020年10.30,1176,8,1067,8,7,0
2020年10.31,1181,5,1074,7,7,0
2020年11.01,1187,6,1085,11,7,0
2020年11.02,1196,9,1096,11,7,0
2020年11.03,1200,4,1101,5,7,0
2020年11.04,1208,8,1111,10,7,0
2020年11.05,1223,15,1116,5,7,0
2020年11.06,1234,11,1122,6,7,0
2020年11.07,1241,7,1136,14,7,0
2020年11.08,1254,13,1143,7,7,0
2020年11.09,1259,5,1151,8,7,0
2020年11.10,1264,5,1154,3,7,0
2020年11.11,1268,4,1157,3,7,0
2020年11.12,1271,3,1164,7,7,0
2020年11.13,1276,5,1167,3,7,0
2020年11.14,1277,1,1174,7,7,0
2020年11.15,1277,0,1183,9,7,0
2020年11.16,1281,4,1198,15,7,0
2020年11.17,1285,4,1207,9,7,0
2020年11.18,1286,1,1215,8,7,0
2020年11.19,1290,4,1223,8,7,0
2020年11.20,1301,11,1231,8,7,0
2020年11.21,1305,4,1233,2,7,0
2020年11.22,1308,3,1236,3,7,0
2020年11.23,1312,4,1242,6,7,0
2020年11.24,1314,2,1249,7,7,0
2020年11.25,1319,5,1253,4,7,0
2020年11.26,1322,3,1253,0,7,0
2020年11.27,1322,0,1257,4,7,0
2020年11.28,1325,3,1266,9,7,0
2020年11.29,1330,5,1272,6,7,0
2020年11.30,1332,2,1277,5,7,0
2020年12.01,1333,1,1279,2,7,0
2020年12.02,1341,8,1280,1,7,0
2020年12.03,1350,9,1285,5,7,0
2020年12.04,1353,3,1288,3,7,0
2020年12.05,1359,6,1291,3,7,0
2020年12.06,1366,7,1294,3,7,0
2020年12.07,1370,4,1299,5,7,0
2020年12.08,1376,6,1300,1,7,0
2020年12.09,1385,9,1302,2,7,0
2020年12.10,1390,5,1302,0,7,0
