日期,总确诊数,新增确诊数,总治愈数,新增治愈数,总死亡数,新增死亡数
﻿2020年01.29,70,0,0,0,0,0
2020年01.30,80,10,0,0,0,0
2020年01.31,91,11,1,1,0,0
2020年02.01,99,8,1,0,0,0
2020年02.02,109,10,3,2,0,0
2020年02.03,117,8,5,2,0,0
2020年02.04,122,3,5,0,0,0
2020年02.05,128,6,5,0,0,0
2020年02.06,133,9,6,1,0,0
2020年02.07,136,3,13,7,0,0
2020年02.08,138,2,17,4,0,0
2020年02.09,141,3,18,1,0,0
2020年02.10,149,8,19,1,0,0
2020年02.11,154,5,20,1,0,0
2020年02.12,155,1,23,3,0,0
2020年02.13,162,7,27,4,0,0
2020年02.14,162,7,35,8,0,0
2020年02.15,169,1,42,7,0,0
2020年02.16,171,2,42,0,0,0
2020年02.17,172,1,47,5,0,0
2020年02.18,173,1,57,10,0,0
2020年02.19,173,0,60,3,1,1
2020年02.20,172,-1,79,19,2,1
2020年02.21,174,0,107,28,2,0
2020年02.22,174,0,115,8,2,0
2020年02.23,174,0,115,0,2,0
2020年02.24,174,0,124,9,2,0
2020年02.25,174,0,144,20,2,0
2020年02.26,174,0,144,0,2,0
2020年02.27,174,0,150,6,2,0
2020年02.28,174,0,156,6,2,0
2020年02.29,174,0,163,7,2,0
2020年03.01,174,0,163,0,2,0
2020年03.01,174,0,163,0,2,0
2020年03.02,174,0,168,5,2,0
2020年03.03,174,0,169,1,2,0
2020年03.04,174,0,169,0,2,0
2020年03.05,174,0,169,0,2,0
2020年03.06,174,0,170,1,2,0
2020年03.07,174,0,170,0,2,0
2020年03.08,174,0,170,0,2,0
2020年03.09,174,0,170,0,2,0
2020年03.10,174,0,170,0,2,0
2020年03.11,174,0,170,0,2,0
2020年03.12,174,0,170,0,2,0
2020年03.13,174,0,170,0,2,0
2020年03.14,174,0,172,2,2,0
2020年03.15,175,1,172,0,2,0
2020年03.16,176,1,172,0,2,0
2020年03.17,176,0,172,0,2,0
2020年03.18,176,0,172,0,2,0
2020年03.19,176,0,172,0,2,0
2020年03.20,176,0,172,0,2,0
2020年03.21,176,0,172,0,2,0
2020年03.22,176,0,172,0,2,0
2020年03.23,176,0,172,0,2,0
2020年03.24,176,0,172,0,2,0
2020年03.25,178,2,172,0,2,0
2020年03.26,180,2,172,0,2,0
2020年03.27,180,2,172,0,2,0
2020年03.28,180,0,172,0,2,0
2020年03.29,180,0,172,0,2,0
2020年03.30,181,1,172,0,2,0
2020年03.31,182,1,172,0,2,0
2020年04.01,183,1,172,0,2,0
2020年04.02,184,1,172,0,2,0
2020年04.03,184,0,172,0,2,0
2020年04.04,184,0,172,0,2,0
2020年04.05,184,0,172,0,2,0
2020年04.06,184,0,173,1,2,0
2020年04.07,184,0,173,0,2,0
2020年04.08,184,0,173,0,2,0
2020年04.09,184,0,173,0,2,0
2020年04.10,184,0,174,1,2,0
2020年04.11,184,0,174,0,2,0
2020年04.12,184,0,174,0,2,0
2020年04.13,184,0,175,1,2,0
2020年04.14,184,0,176,1,2,0
2020年04.15,184,0,176,0,2,0
2020年04.16,184,0,177,1,2,0
2020年04.17,184,0,177,0,2,0
2020年04.18,184,0,178,1,2,0
2020年04.19,184,0,178,0,2,0
2020年04.20,184,0,178,0,2,0
2020年04.21,184,0,178,0,2,0
2020年04.22,184,0,178,0,2,0
2020年04.23,184,0,180,2,2,0
2020年04.24,185,1,180,0,2,0
2020年04.25,185,0,181,1,2,0
2020年04.26,185,0,181,0,2,0
2020年04.27,185,0,181,0,2,0
2020年04.28,185,0,181,0,2,0
2020年04.29,185,0,181,0,2,0
2020年04.30,185,0,181,0,2,0
2020年05.01,185,0,181,0,2,0
2020年05.02,185,0,181,0,2,0
2020年05.03,185,0,181,0,2,0
2020年05.04,185,0,181,0,2,0
2020年05.05,185,0,181,0,2,0
2020年05.06,185,0,181,0,2,0
2020年05.07,185,0,182,1,2,0
2020年05.08,185,0,182,0,2,0
2020年05.09,185,0,183,1,2,0
2020年05.10,185,0,183,0,2,0
2020年05.11,185,0,183,0,2,0
2020年05.12,185,0,183,0,2,0
2020年05.13,185,0,183,0,2,0
2020年05.14,185,0,183,0,2,0
2020年05.15,185,0,183,0,2,0
2020年05.16,185,0,183,0,2,0
2020年05.17,185,0,183,0,2,0
2020年05.18,185,0,183,0,2,0
2020年05.19,185,0,183,0,2,0
2020年05.20,185,0,183,0,2,0
2020年05.21,185,0,183,0,2,0
2020年05.22,185,0,183,0,2,0
2020年05.23,185,0,183,0,2,0
2020年05.24,185,0,183,0,2,0
2020年05.25,185,0,183,0,2,0
2020年05.26,185,0,183,0,2,0
2020年05.27,185,0,183,0,2,0
2020年05.28,185,0,183,0,2,0
2020年05.29,185,0,183,0,2,0
2020年05.30,185,0,183,0,2,0
2020年05.31,185,0,183,0,2,0
2020年06.01,185,0,183,0,2,0
2020年06.02,185,0,183,0,2,0
2020年06.03,185,0,183,0,2,0
2020年06.04,185,0,183,0,2,0
2020年06.05,185,0,183,0,2,0
2020年06.06,185,0,183,0,2,0
2020年06.07,185,0,183,0,2,0
2020年06.08,185,0,183,0,2,0
2020年06.08,185,0,183,0,2,0
