日期,总确诊数,新增确诊数,总治愈数,新增治愈数,总死亡数,新增死亡数
﻿2020年01.26,11,0,0,0,0,0
2020年01.27,13,2,0,0,0,0
2020年01.28,16,3,0,0,0,0
2020年01.29,18,2,0,0,0,0
2020年01.30,20,2,0,0,0,0
2020年01.31,23,3,1,1,0,0
2020年02.01,27,4,1,0,0,0
2020年02.02,34,7,1,0,0,0
2020年02.03,35,1,1,0,0,0
2020年02.04,42,7,1,0,0,0
2020年02.05,44,2,3,2,0,0
2020年02.06,46,2,4,1,0,0
2020年02.07,50,4,5,1,0,0
2020年02.08,52,2,5,0,0,0
2020年02.09,54,2,5,0,0,0
2020年02.10,58,0,5,0,0,0
2020年02.11,60,2,5,0,0,0
2020年02.12,61,1,6,1,0,0
2020年02.13,65,4,6,0,0,0
2020年02.14,65,4,6,0,0,0
2020年02.15,70,2,7,1,0,0
2020年02.16,72,2,8,1,0,0
2020年02.17,73,1,8,0,0,0
2020年02.18,75,2,9,1,0,0
2020年02.19,75,0,11,2,0,0
2020年02.20,75,0,16,5,0,0
2020年02.21,75,0,22,6,0,0
2020年02.22,75,0,26,4,0,0
2020年02.23,75,0,30,4,0,0
2020年02.24,75,0,34,4,0,0
2020年02.25,75,0,34,0,0,0
2020年02.26,75,0,38,4,0,0
2020年02.27,75,0,43,5,0,0
2020年02.28,75,0,46,3,0,0
2020年02.29,75,0,51,5,0,0
2020年03.01,75,0,51,0,0,0
2020年03.02,75,0,54,3,0,0
2020年03.03,75,0,59,5,1,1
2020年03.04,75,0,63,4,1,0
2020年03.05,75,0,63,0,1,0
2020年03.06,75,0,65,2,1,0
2020年03.07,75,0,68,3,1,0
2020年03.08,75,0,70,2,1,0
2020年03.09,75,0,70,0,1,0
2020年03.10,75,0,70,0,1,0
2020年03.11,75,0,71,1,1,0
2020年03.12,75,0,71,0,1,0
2020年03.13,75,0,71,0,1,0
2020年03.14,75,0,71,0,1,0
2020年03.15,75,0,71,0,1,0
2020年03.16,75,0,73,2,1,0
2020年03.17,75,0,73,0,1,0
2020年03.18,75,0,74,1,1,0
2020年03.19,75,0,74,0,1,0
2020年03.20,75,0,74,0,1,0
2020年03.21,75,0,74,0,1,0
2020年03.22,75,0,74,0,1,0
2020年03.23,75,0,74,0,1,0
2020年03.24,77,2,74,0,1,0
2020年03.25,89,12,74,0,1,0
2020年03.26,92,3,74,0,1,0
2020年03.27,94,2,74,0,1,0
2020年03.28,95,1,74,0,1,0
2020年03.29,97,2,74,0,1,0
2020年03.30,107,10,74,0,1,0
2020年03.31,111,4,74,0,1,0
2020年04.01,117,6,74,0,1,0
2020年04.02,117,0,74,0,1,0
2020年04.03,117,0,74,0,1,0
2020年04.04,117,0,74,0,1,0
2020年04.05,118,1,74,0,1,0
2020年04.06,121,3,74,0,1,0
2020年04.07,124,3,74,0,1,0
2020年04.08,126,2,79,5,1,0
2020年04.09,128,2,79,0,1,0
2020年04.10,155,27,79,0,1,0
2020年04.11,155,0,83,4,1,0
2020年04.12,190,35,83,0,1,0
2020年04.13,190,0,91,8,1,0
2020年04.14,190,0,94,3,1,0
2020年04.15,193,3,94,0,1,0
2020年04.16,193,0,103,9,1,0
2020年04.17,193,0,104,1,1,0
2020年04.18,193,0,104,0,1,0
2020年04.19,194,1,104,0,1,0
2020年04.20,194,0,108,4,1,0
2020年04.21,194,0,108,0,1,0
2020年04.22,194,0,108,0,1,0
2020年04.23,194,0,108,0,1,0
2020年04.24,197,3,114,6,1,0
2020年04.25,198,1,121,7,1,0
2020年04.26,198,0,129,8,1,0
2020年04.27,199,1,145,16,1,0
2020年04.28,199,0,146,1,1,0
2020年04.29,200,1,150,4,1,0
2020年04.30,201,1,152,2,1,0
2020年05.01,201,0,154,2,1,0
2020年05.02,201,0,154,0,1,0
2020年05.03,201,0,156,2,1,0
2020年05.04,201,0,160,4,1,0
2020年05.05,201,0,167,7,1,0
2020年05.06,201,0,171,4,1,0
2020年05.07,201,0,172,1,1,0
2020年05.08,201,0,175,3,1,0
2020年05.09,201,0,184,9,1,0
2020年05.10,208,7,187,3,1,0
2020年05.11,208,1,187,0,1,0
2020年05.12,209,0,190,3,1,0
2020年05.13,209,0,190,0,1,0
2020年05.14,209,0,194,4,1,0
2020年05.15,209,0,196,2,1,0
2020年05.16,209,0,196,0,1,0
2020年05.17,213,4,196,0,1,0
2020年05.18,216,3,196,0,1,0
2020年05.19,217,1,196,0,1,0
2020年05.20,217,0,199,3,1,0
2020年05.21,217,0,199,0,1,0
2020年05.22,217,0,199,0,1,0
2020年05.23,217,0,199,0,1,0
2020年05.24,227,10,201,2,1,0
2020年05.25,232,5,204,3,1,0
2020年05.26,232,0,205,1,1,0
2020年05.27,232,0,205,0,1,0
2020年05.28,232,0,205,0,1,0
2020年05.29,232,0,206,1,1,0
2020年05.30,232,0,206,0,1,0
2020年05.31,235,3,207,1,1,0
2020年06.01,235,0,209,2,1,0
2020年06.02,235,0,209,0,1,0
2020年06.03,235,0,212,3,1,0
2020年06.04,235,0,213,1,1,0
2020年06.05,235,0,213,0,1,0
2020年06.06,235,0,213,0,1,0
2020年06.07,235,0,218,5,1,0
2020年06.08,235,0,226,8,1,0
2020年06.09,237,2,230,4,1,0
2020年06.10,237,0,230,0,1,0
2020年06.11,237,0,231,1,1,0
2020年06.12,237,0,231,0,1,0
2020年06.13,237,0,231,0,1,0
2020年06.14,237,0,231,0,1,0
2020年06.15,238,1,234,3,1,0
2020年06.16,238,0,234,0,1,0
2020年06.17,238,0,234,0,1,0
2020年06.18,238,0,234,0,1,0
2020年06.19,238,0,234,0,1,0
2020年06.20,238,0,235,1,1,0
2020年06.21,238,0,235,0,1,0
2020年06.22,238,0,236,1,1,0
2020年06.23,238,0,236,0,1,0
2020年06.24,238,0,236,0,1,0
2020年06.25,238,0,236,0,1,0
2020年06.26,238,0,236,0,1,0
2020年06.27,238,0,236,0,1,0
2020年06.28,238,0,237,1,1,0
2020年06.29,238,0,237,0,1,0
2020年06.30,238,0,237,0,1,0
2020年07.01,238,0,237,0,1,0
2020年07.02,238,0,237,0,1,0
