日期,总确诊数,新增确诊数,总治愈数,新增治愈数,总死亡数,新增死亡数
﻿2020年01.27,8,0,0,0,0,0
2020年01.28,9,1,0,0,0,0
2020年01.29,14,5,0,0,0,0
2020年01.30,14,0,1,1,0,0
2020年01.31,17,3,1,0,0,0
2020年02.01,23,6,1,0,0,0
2020年02.02,31,8,1,0,0,0
2020年02.03,42,11,1,0,0,0
2020年02.04,54,12,1,0,0,0
2020年02.05,59,5,2,1,0,0
2020年02.06,65,6,4,2,1,1
2020年02.07,69,4,4,0,1,0
2020年02.08,78,9,5,1,1,0
2020年02.09,80,2,12,7,1,0
2020年02.10,81,1,13,1,1,0
2020年02.11,83,2,18,5,1,0
2020年02.12,83,2,18,0,1,0
2020年02.13,86,2,25,7,1,0
2020年02.14,88,2,25,0,1,0
2020年02.15,89,1,28,3,1,0
2020年02.16,89,0,30,2,1,0
2020年02.17,89,0,34,4,1,0
2020年02.18,90,1,36,2,1,0
2020年02.19,91,1,40,4,1,0
2020年02.20,91,0,44,4,1,0
2020年02.21,91,0,46,2,1,0
2020年02.22,91,0,52,6,1,0
2020年02.23,93,2,54,2,1,0
2020年02.24,93,0,60,6,1,0
2020年02.25,93,0,63,3,1,0
2020年02.26,93,0,65,2,1,0
2020年02.27,93,0,68,3,1,0
2020年02.28,93,0,73,5,1,0
2020年02.29,93,0,75,2,1,0
2020年03.01,93,0,78,3,1,0
2020年03.02,93,0,83,5,1,0
2020年03.03,93,0,84,1,1,0
2020年03.04,93,0,86,2,1,0
2020年03.05,93,0,88,2,1,0
2020年03.06,93,0,90,2,1,0
2020年03.07,93,0,90,0,1,0
2020年03.08,93,0,90,0,1,0
2020年03.09,93,0,91,1,1,0
2020年03.10,93,0,91,0,1,0
2020年03.11,93,0,91,0,1,0
2020年03.12,93,0,91,0,1,0
2020年03.13,93,0,91,0,1,0
2020年03.14,93,0,91,0,1,0
2020年03.15,93,0,92,1,1,0
2020年03.16,93,0,92,0,1,0
2020年03.17,93,0,92,0,1,0
2020年03.18,93,0,92,0,1,0
2020年03.19,93,0,92,0,1,0
2020年03.20,93,0,92,0,1,0
2020年03.21,93,0,92,0,1,0
2020年03.22,93,0,92,0,1,0
2020年03.23,93,0,92,0,1,0
2020年03.24,94,1,92,0,1,0
2020年03.25,95,1,92,0,1,0
2020年03.26,95,0,92,0,1,0
2020年03.27,97,2,92,0,1,0
2020年03.28,98,1,92,0,1,0
2020年03.29,98,0,92,0,1,0
2020年03.30,98,0,92,0,1,0
2020年03.31,98,0,92,0,1,0
2020年04.01,98,0,92,0,1,0
2020年04.02,98,0,92,0,1,0
2020年04.03,98,0,92,0,1,0
2020年04.04,98,0,92,0,1,0
2020年04.05,98,0,92,0,1,0
2020年04.06,98,0,92,0,1,0
2020年04.07,98,0,92,0,1,0
2020年04.08,98,0,93,1,1,0
2020年04.09,98,0,95,2,1,0
2020年04.10,98,0,96,1,1,0
2020年04.11,99,1,96,0,1,0
2020年04.12,100,1,96,0,1,0
2020年04.13,100,0,96,0,1,0
2020年04.14,102,2,96,0,1,0
2020年04.15,102,0,96,0,1,0
2020年04.16,102,0,97,1,1,0
2020年04.17,102,0,97,0,1,0
2020年04.18,104,2,97,0,1,0
2020年04.19,104,0,97,0,1,0
2020年04.20,106,2,97,0,1,0
2020年04.21,106,0,98,1,1,0
2020年04.22,107,1,98,0,1,0
2020年04.23,108,1,99,1,1,0
2020年04.24,109,1,99,0,1,0
2020年04.25,109,0,99,0,1,0
2020年04.26,110,1,99,0,1,0
2020年04.27,110,0,99,0,1,0
2020年04.28,110,0,99,0,1,0
2020年04.29,111,1,99,0,1,0
2020年04.30,111,0,101,2,1,0
2020年05.01,112,1,102,1,1,0
2020年05.02,112,0,103,1,1,0
2020年05.03,112,0,103,0,1,0
2020年05.04,112,0,103,0,1,0
2020年05.05,112,0,103,0,1,0
2020年05.06,112,0,103,0,1,0
2020年05.07,113,1,104,1,1,0
2020年05.08,113,0,105,1,1,0
2020年05.09,124,11,105,0,1,0
2020年05.10,127,3,105,0,1,0
2020年05.11,127,0,105,0,1,0
2020年05.12,133,6,108,3,1,0
2020年05.13,134,1,108,0,1,0
2020年05.14,138,4,108,0,1,0
2020年05.15,140,2,108,0,1,0
2020年05.16,144,3,113,5,2,2
2020年05.17,146,2,122,9,2,0
2020年05.18,148,2,123,1,2,0
2020年05.19,152,4,125,2,2,0
2020年05.20,152,4,125,0,2,0
2020年05.21,154,2,127,2,2,0
2020年05.22,154,0,128,1,2,0
2020年05.23,155,1,128,0,2,0
2020年05.24,155,0,128,0,2,0
2020年05.25,155,0,128,0,2,0
2020年05.26,155,0,128,0,2,0
2020年05.27,155,0,133,5,2,0
2020年05.28,155,0,136,3,2,0
2020年05.29,155,0,142,6,2,0
2020年05.30,155,0,144,2,2,0
2020年05.31,155,0,144,0,2,0
2020年06.01,155,0,147,3,2,0
2020年06.02,155,0,147,0,2,0
2020年06.03,155,0,148,1,2,0
2020年06.04,155,0,149,1,2,0
2020年06.05,155,0,150,1,2,0
2020年06.06,155,0,150,0,2,0
2020年06.07,155,0,153,3,2,0
2020年06.08,155,0,153,0,2,0
2020年06.09,155,0,153,0,2,0
2020年06.10,155,0,153,0,2,0
2020年06.11,155,0,153,0,2,0
2020年06.12,155,0,153,0,2,0
2020年06.13,155,0,153,0,2,0
2020年06.14,155,0,153,0,2,0
2020年06.15,155,0,153,0,2,0
2020年06.16,155,0,153,0,2,0
2020年06.17,155,0,153,0,2,0
2020年06.18,155,0,153,0,2,0
2020年06.19,155,0,153,0,2,0
2020年06.20,155,0,153,0,2,0
2020年06.21,155,0,153,0,2,0
2020年06.22,155,0,153,0,2,0
2020年06.23,155,0,153,0,2,0
2020年06.24,155,0,153,0,2,0
2020年06.25,155,0,153,0,2,0
2020年06.26,155,0,153,0,2,0
2020年06.27,155,0,153,0,2,0
2020年06.28,155,0,153,0,2,0
2020年06.29,155,0,153,0,2,0
2020年06.30,155,0,153,0,2,0
2020年07.01,155,0,153,0,2,0
2020年07.02,155,0,153,0,2,0
2020年07.03,155,0,153,0,2,0
2020年07.04,155,0,153,0,2,0
2020年07.05,155,0,153,0,2,0
2020年07.06,155,0,153,0,2,0
2020年07.07,155,0,153,0,2,0
2020年07.08,155,0,153,0,2,0
2020年07.09,155,0,153,0,2,0
2020年07.10,155,0,153,0,2,0
2020年07.11,155,0,153,0,2,0
2020年07.12,155,0,153,0,2,0
2020年07.13,155,0,153,0,2,0
2020年07.14,155,0,153,0,2,0
2020年07.15,155,0,153,0,2,0
2020年07.16,155,0,153,0,2,0
2020年07.17,155,0,153,0,2,0
2020年07.18,155,0,153,0,2,0
2020年07.19,155,0,153,0,2,0
2020年07.20,155,0,153,0,2,0
2020年07.21,155,0,153,0,2,0
2020年07.22,155,0,153,0,2,0
2020年07.23,155,0,153,0,2,0
2020年07.24,155,0,153,0,2,0
2020年07.25,155,0,153,0,2,0
2020年07.26,157,2,153,0,2,0
2020年07.27,157,0,153,0,2,0
2020年07.28,157,0,153,0,2,0
2020年07.29,157,0,153,0,2,0
2020年07.30,157,0,153,0,2,0
2020年07.31,157,0,153,0,2,0
2020年08.01,157,0,153,0,2,0
2020年08.02,157,0,153,0,2,0
2020年08.03,157,0,153,0,2,0
2020年08.04,157,0,154,1,2,0
2020年08.05,157,0,154,0,2,0
2020年08.06,157,0,154,0,2,0
2020年08.07,157,0,154,0,2,0
2020年08.08,157,0,154,0,2,0
2020年08.09,157,0,154,0,2,0
2020年08.10,157,0,154,0,2,0
2020年08.11,157,0,154,0,2,0
2020年08.12,157,0,154,0,2,0
2020年08.13,157,0,154,0,2,0
2020年08.14,157,0,154,0,2,0
2020年08.15,157,0,155,1,2,0
2020年08.16,157,0,155,0,2,0
2020年08.17,157,0,155,0,2,0
2020年08.18,157,0,155,0,2,0
2020年08.19,157,0,155,0,2,0
2020年08.20,157,0,155,0,2,0
2020年08.21,157,0,155,0,2,0
2020年08.22,157,0,155,0,2,0
2020年08.23,157,0,155,0,2,0
2020年08.24,157,0,155,0,2,0
2020年08.25,157,0,155,0,2,0
2020年08.26,157,0,155,0,2,0
2020年08.27,157,0,155,0,2,0
2020年08.28,157,0,155,0,2,0
2020年08.29,157,0,155,0,2,0
2020年08.30,157,0,155,0,2,0
2020年08.31,157,0,155,0,2,0
2020年09.01,157,0,155,0,2,0
2020年09.02,157,0,155,0,2,0
2020年09.03,157,0,155,0,2,0
2020年09.04,157,0,155,0,2,0
2020年09.05,157,0,155,0,2,0
2020年09.06,157,0,155,0,2,0
2020年09.07,157,0,155,0,2,0
2020年09.08,157,0,155,0,2,0
2020年09.09,157,0,155,0,2,0
2020年09.10,157,0,155,0,2,0
2020年09.11,157,0,155,0,2,0
2020年09.12,157,0,155,0,2,0
2020年09.13,157,0,155,0,2,0
2020年09.14,157,0,155,0,2,0
2020年09.15,157,0,155,0,2,0
2020年09.16,157,0,155,0,2,0
2020年09.17,157,0,155,0,2,0
2020年09.18,157,0,155,0,2,0
2020年09.19,157,0,155,0,2,0
2020年09.20,157,0,155,0,2,0
2020年09.21,157,0,155,0,2,0
2020年09.22,157,0,155,0,2,0
2020年09.23,157,0,155,0,2,0
2020年09.24,157,0,155,0,2,0
2020年09.25,157,0,155,0,2,0
