日期,总确诊数,新增确诊数,总治愈数,新增治愈数,总死亡数,新增死亡数
﻿2020年01.27,90,0,0,0,0,0
2020年01.28,108,18,0,0,0,0
2020年01.29,142,34,1,1,1,1
2020年01.30,177,36,1,0,1,0
2020年01.31,207,30,3,2,1,0
2020年02.01,231,24,3,0,1,0
2020年02.02,254,23,12,9,1,0
2020年02.03,282,28,14,2,1,0
2020年02.04,301,19,23,9,1,0
2020年02.05,321,20,27,4,1,0
2020年02.06,344,23,37,10,1,0
2020年02.07,363,19,50,13,1,0
2020年02.08,386,23,60,10,1,0
2020年02.09,405,19,76,16,1,0
2020年02.10,417,12,82,6,1,0
2020年02.11,436,19,85,3,1,0
2020年02.12,451,15,93,8,1,0
2020年02.13,463,12,105,12,1,0
2020年02.14,470,7,115,10,1,0
2020年02.15,481,11,127,12,3,2
2020年02.16,495,14,136,9,3,0
2020年02.17,508,13,163,27,3,0
2020年02.18,514,6,177,14,3,0
2020年02.19,520,6,198,21,3,0
2020年02.20,525,5,222,24,3,0
2020年02.21,526,1,242,20,3,0
2020年02.22,526,1,256,14,3,0
2020年02.23,527,1,263,7,3,0
2020年02.24,529,2,278,15,3,0
2020年02.25,531,2,292,14,3,0
2020年02.26,534,3,310,18,3,0
2020年02.27,538,4,326,16,3,0
2020年02.28,538,0,350,24,3,0
2020年02.29,538,0,363,13,3,0
2020年03.01,538,0,378,15,3,0
2020年03.02,538,0,389,11,3,0
2020年03.03,538,0,400,11,3,0
2020年03.04,539,1,418,18,3,0
2020年03.05,539,1,418,0,3,0
2020年03.06,539,0,448,30,3,0
2020年03.07,539,0,457,9,3,0
2020年03.08,539,0,465,8,3,0
2020年03.09,539,0,470,5,3,0
2020年03.10,539,0,484,14,3,0
2020年03.11,539,0,494,10,3,0
2020年03.12,539,0,500,6,3,0
2020年03.13,539,0,510,10,3,0
2020年03.14,539,0,515,5,3,0
2020年03.15,539,0,516,1,3,0
2020年03.16,539,0,520,4,3,0
2020年03.17,540,1,525,5,3,0
2020年03.18,540,1,531,6,3,0
2020年03.19,540,0,531,0,3,0
2020年03.20,541,1,536,5,3,0
2020年03.21,542,1,536,0,3,0
2020年03.22,543,0,536,0,3,0
2020年03.23,545,2,536,0,3,0
2020年03.24,547,2,536,0,3,0
2020年03.25,547,0,536,0,3,0
2020年03.26,547,0,536,0,3,0
2020年03.27,548,1,536,0,3,0
2020年03.28,550,2,536,0,3,0
2020年03.29,550,0,536,0,3,0
2020年03.30,550,0,536,0,3,0
2020年03.31,552,2,536,0,3,0
2020年04.01,554,2,537,1,3,0
2020年04.02,555,1,537,0,3,0
2020年04.03,557,2,538,1,3,0
2020年04.04,558,1,539,1,3,0
2020年04.05,559,1,540,1,3,0
2020年04.06,560,1,541,1,3,0
2020年04.07,560,0,541,0,3,0
