日期,总确诊数,新增确诊数,总治愈数,新增治愈数,总死亡数,新增死亡数
﻿2020年01.26,14,0,0,0,0,0
2020年01.27,23,9,0,0,0,0
2020年01.28,24,1,0,0,0,0
2020年01.29,27,3,0,0,0,0
2020年01.30,31,4,0,0,0,0
2020年01.31,32,1,0,0,0,0
2020年02.01,41,9,0,0,0,0
2020年02.02,48,7,1,1,0,0
2020年02.03,60,12,1,0,0,0
2020年02.04,67,7,2,1,0,0
2020年02.05,69,2,2,0,0,0
2020年02.06,79,10,2,0,1,1
2020年02.07,81,2,2,0,1,0
2020年02.08,88,7,4,2,1,0
2020年02.09,91,3,4,0,1,0
2020年02.10,95,4,8,4,2,1
2020年02.11,107,12,10,2,2,0
2020年02.12,113,7,11,1,2,0
2020年02.13,119,7,21,10,3,1
2020年02.14,120,1,32,11,3,0
2020年02.15,122,2,37,5,3,0
2020年02.16,125,3,45,8,3,0
2020年02.17,127,3,46,1,3,0
2020年02.18,128,3,48,2,3,0
2020年02.19,130,2,54,6,3,0
2020年02.20,131,1,59,5,3,0
2020年02.21,133,2,62,3,3,0
2020年02.22,135,4,65,3,3,0
2020年02.23,135,0,87,22,3,0
2020年02.24,135,0,87,0,3,0
2020年02.25,135,0,91,4,3,0
2020年02.26,135,0,96,5,3,0
2020年02.27,136,1,105,9,3,0
2020年02.28,136,1,105,0,3,0
2020年02.29,136,0,109,4,3,0
2020年03.01,136,0,111,2,3,0
2020年03.02,136,0,118,7,3,0
2020年03.03,136,0,124,6,3,0
2020年03.04,136,0,128,4,3,0
2020年03.05,136,0,128,0,3,0
2020年03.07,136,0,129,1,3,0
2020年03.08,136,0,130,1,3,0
2020年03.09,136,0,130,0,3,0
2020年03.10,136,0,131,1,3,0
2020年03.11,136,0,132,1,3,0
2020年03.12,136,0,132,0,3,0
2020年03.13,136,0,132,0,3,0
2020年03.14,136,0,132,0,3,0
2020年03.15,136,0,133,1,3,0
2020年03.16,136,0,133,0,3,0
2020年03.17,136,0,133,0,3,0
2020年03.18,136,0,133,0,3,0
2020年03.19,137,1,133,0,3,0
2020年03.20,137,0,133,0,3,0
2020年03.21,137,0,133,0,3,0
2020年03.22,141,4,133,0,3,0
2020年03.23,142,1,133,0,3,0
2020年03.24,145,4,133,0,3,0
2020年03.25,151,4,133,0,3,0
2020年03.26,152,5,133,0,3,0
2020年03.27,156,4,133,0,3,0
2020年03.28,163,7,133,0,3,0
2020年03.29,166,3,133,0,3,0
2020年03.30,174,8,133,0,3,0
2020年03.31,174,0,135,2,3,0
2020年04.01,176,2,135,0,3,0
2020年04.02,177,1,140,5,3,0
2020年04.03,180,3,140,0,3,0
2020年04.04,180,0,144,4,3,0
2020年04.05,180,0,144,0,3,0
2020年04.06,180,0,151,7,3,0
2020年04.07,180,0,152,1,3,0
2020年04.08,181,1,152,0,3,0
2020年04.09,182,1,154,2,3,0
2020年04.10,183,1,158,4,3,0
2020年04.11,183,0,161,3,3,0
2020年04.12,184,1,161,0,3,0
2020年04.13,184,0,164,3,3,0
2020年04.14,185,1,168,4,3,0
2020年04.15,186,1,172,4,3,0
2020年04.16,189,4,172,0,3,0
2020年04.17,189,3,173,1,3,0
2020年04.18,189,0,173,0,3,0
2020年04.19,189,0,174,1,3,0
2020年04.20,189,0,174,0,3,0
2020年04.21,189,0,176,2,3,0
2020年04.22,189,0,178,2,3,0
2020年04.23,189,0,179,1,3,0
2020年04.24,190,1,181,2,3,0
2020年04.25,190,0,182,1,3,0
