日期,总确诊数,新增确诊数,总治愈数,新增治愈数,总死亡数,新增死亡数
﻿2020年01.22,1,0,0,0,0,0
2020年01.23,2,1,0,0,0,0
2020年01.24,3,1,0,0,0,0
2020年01.25,4,1,0,0,0,0
2020年01.26,7,3,0,0,0,0
2020年01.27,11,4,0,0,0,0
2020年01.28,12,1,0,0,0,0
2020年01.30,21,4,0,0,0,0
2020年01.31,26,5,0,0,0,0
2020年02.01,28,2,0,0,0,0
2020年02.02,31,3,0,0,0,0
2020年02.03,34,3,0,0,0,0
2020年02.04,34,0,1,1,0,0
2020年02.05,40,6,1,0,0,0
2020年02.06,43,3,1,0,0,0
2020年02.07,45,2,5,4,0,0
2020年02.08,45,1,13,8,0,0
2020年02.09,49,4,13,0,0,0
2020年02.10,53,4,14,1,0,0
2020年02.11,58,5,22,8,0,0
2020年02.12,64,6,24,2,0,0
2020年02.13,67,3,24,0,0,0
2020年02.14,70,3,27,3,0,0
2020年02.15,70,0,33,6,0,0
2020年02.16,70,0,33,0,0,0
2020年02.17,70,0,35,2,0,0
2020年02.18,71,1,42,7,0,0
2020年02.19,71,0,42,0,0,0
2020年02.20,71,0,44,2,0,0
2020年02.21,71,0,48,4,0,0
2020年02.23,71,0,57,9,0,0
2020年02.24,71,0,58,1,0,0
2020年02.25,71,0,58,0,0,0
2020年02.26,72,1,65,7,0,0
2020年02.27,72,0,68,3,0,0
2020年02.28,73,1,68,0,0,0
2020年02.29,73,0,69,1,0,0
2020年03.01,74,1,69,0,0,0
2020年03.02,74,0,69,0,0,0
2020年03.03,75,1,69,0,0,0
2020年03.04,75,0,69,0,0,0
2020年03.05,75,0,69,0,0,0
2020年03.06,75,0,71,2,0,0
2020年03.07,75,0,71,0,0,0
2020年03.08,75,0,71,0,0,0
2020年03.09,75,0,71,0,0,0
2020年03.10,75,0,71,0,0,0
2020年03.11,75,0,71,0,0,0
2020年03.12,75,0,72,1,0,0
2020年03.13,75,0,72,0,0,0
2020年03.14,75,0,73,1,0,0
2020年03.15,75,0,73,0,0,0
2020年03.16,75,0,75,2,0,0
2020年03.17,75,0,75,0,0,0
2020年03.18,75,0,75,0,0,0
2020年03.19,75,0,75,0,0,0
2020年03.20,75,0,75,0,0,0
2020年03.21,75,0,75,0,0,0
2020年03.22,75,0,75,0,0,0
2020年03.23,75,0,75,0,0,0
2020年03.24,75,0,75,0,0,0
2020年03.25,75,0,75,0,0,0
2020年03.26,75,0,75,0,0,0
2020年03.27,75,0,75,0,0,0
2020年03.28,75,0,75,0,0,0
2020年03.29,75,0,75,0,0,0
2020年03.30,75,0,75,0,0,0
2020年03.31,75,0,75,0,0,0
2020年04.01,75,0,75,0,0,0
2020年04.02,75,0,75,0,0,0
2020年04.03,75,0,75,0,0,0
2020年04.04,75,0,75,0,0,0
2020年04.05,75,0,75,0,0,0
2020年04.06,75,0,75,0,0,0
2020年04.07,75,0,75,0,0,0
2020年04.08,75,0,75,0,0,0
2020年04.09,75,0,75,0,0,0
2020年04.10,75,0,75,0,0,0
2020年04.11,75,0,75,0,0,0
2020年04.12,75,0,75,0,0,0
2020年04.13,75,0,75,0,0,0
2020年04.14,75,0,75,0,0,0
2020年04.15,75,0,75,0,0,0
2020年04.16,75,0,75,0,0,0
2020年04.17,75,0,75,0,0,0
2020年04.18,75,0,75,0,0,0
2020年04.19,75,0,75,0,0,0
2020年04.20,75,0,75,0,0,0
2020年04.21,75,0,75,0,0,0
2020年04.22,75,0,75,0,0,0
2020年04.23,75,0,75,0,0,0
2020年04.24,75,0,75,0,0,0
2020年04.25,75,0,75,0,0,0
2020年04.26,75,0,75,0,0,0
2020年04.27,75,0,75,0,0,0
2020年04.28,75,0,75,0,0,0
2020年04.29,75,0,75,0,0,0
2020年04.30,75,0,75,0,0,0
2020年05.01,75,0,75,0,0,0
2020年05.02,75,0,75,0,0,0
