日期,总确诊数,新增确诊数,总治愈数,新增治愈数,总死亡数,新增死亡数
﻿2020年01.23,15,0,0,0,0,0
2020年01.24,39,24,0,0,0,0
2020年01.25,60,21,0,0,0,0
2020年01.26,70,10,0,0,0,0
2020年01.27,106,36,0,0,0,0
2020年01.28,152,46,0,0,0,0
2020年01.29,200,48,2,2,0,0
2020年01.30,237,37,3,1,0,0
2020年01.31,297,60,3,0,0,0
2020年02.01,340,43,5,2,0,0
2020年02.02,408,68,7,2,0,0
2020年02.03,480,72,14,7,0,0
2020年02.04,530,50,20,6,0,0
2020年02.05,591,61,23,3,0,0
2020年02.06,665,74,34,11,0,0
2020年02.07,733,68,47,13,0,0
2020年02.08,779,46,59,12,1,1
2020年02.09,830,51,73,14,3,2
2020年02.10,860,30,88,15,4,1
2020年02.11,889,29,108,20,4,0
2020年02.12,910,22,128,20,5,1
2020年02.13,934,24,166,38,6,1
2020年02.14,934,24,196,30,6,0
2020年02.15,962,12,232,36,6,0
2020年02.16,973,11,293,61,6,0
2020年02.17,982,9,361,68,6,0
2020年02.18,986,4,424,63,6,0
2020年02.19,987,1,500,76,6,0
2020年02.20,988,1,500,0,6,0
2020年02.21,989,1,620,120,6,0
2020年02.22,989,1,648,28,6,0
2020年02.23,989,0,692,44,6,0
2020年02.24,989,0,727,35,6,0
2020年02.25,989,0,764,37,6,0
2020年02.26,989,0,815,51,6,0
2020年02.27,990,1,842,27,6,0
2020年02.28,990,0,868,26,6,0
2020年02.29,990,0,888,20,6,0
2020年03.01,990,0,917,29,6,0
2020年03.02,990,0,941,24,6,0
2020年03.03,990,0,956,15,6,0
2020年03.04,990,0,970,14,6,0
2020年03.05,990,0,970,0,6,0
2020年03.06,990,0,981,11,6,0
2020年03.07,990,0,984,3,6,0
2020年03.08,990,0,984,0,6,0
2020年03.09,990,0,984,0,6,0
2020年03.10,990,0,984,0,6,0
2020年03.11,990,0,984,0,6,0
2020年03.12,990,0,984,0,6,0
