日期,总确诊数,新增确诊数,总治愈数,新增治愈数,总死亡数,新增死亡数
﻿2020年01.28,121,0,0,0,0,0
2020年01.29,145,24,1,1,0,0
2020年01.30,178,33,2,1,0,0
2020年01.31,202,24,2,0,0,0
2020年02.01,225,23,5,3,0,0
2020年02.02,246,21,6,1,0,0
2020年02.03,270,11,7,1,0,0
2020年02.04,298,28,13,6,0,0
2020年02.05,343,45,18,5,0,0
2020年02.06,347,40,30,12,0,0
2020年02.07,386,39,37,7,0,0
2020年02.08,416,30,42,5,0,0
2020年02.09,444,28,61,19,1,1
2020年02.10,486,27,71,10,1,0
2020年02.11,436,19,85,14,1,0
2020年02.12,506,9,98,13,2,1
2020年02.13,519,13,111,13,2,0
2020年02.14,530,11,139,28,2,0
2020年02.15,537,7,164,25,2,0
2020年02.16,541,4,175,11,2,0
2020年02.17,543,2,193,18,2,0
2020年02.18,544,1,215,22,3,1
2020年02.19,546,2,250,35,4,1
2020年02.20,748,202,270,20,4,0
2020年02.21,750,2,293,23,4,0
2020年02.22,754,4,311,18,4,0
2020年02.23,755,1,325,14,4,0
2020年02.24,755,1,343,18,6,2
2020年02.25,756,1,357,14,6,0
2020年02.26,756,0,381,24,6,0
2020年02.27,756,0,390,9,6,0
2020年02.28,756,0,411,21,6,0
2020年02.29,756,0,431,20,6,0
2020年03.01,758,2,455,24,6,0
2020年03.02,758,0,497,42,6,0
2020年03.03,758,0,511,14,6,0
2020年03.04,758,0,576,65,6,0
2020年03.05,758,0,577,1,6,0
2020年03.06,758,0,625,48,6,0
2020年03.07,758,0,638,13,6,0
2020年03.08,758,0,699,61,6,0
2020年03.09,758,0,719,20,6,0
2020年03.10,759,1,721,2,6,0
2020年03.11,760,1,733,12,6,0
2020年03.12,760,0,739,6,7,1
2020年03.13,760,0,741,2,7,0
2020年03.14,760,0,741,0,7,0
2020年03.15,760,0,743,2,7,0
2020年03.16,761,1,746,3,7,0
2020年03.17,761,0,746,0,7,0
2020年03.18,761,0,746,0,7,0
2020年03.19,762,1,747,1,7,0
2020年03.20,762,1,748,1,7,0
2020年03.21,764,2,749,1,7,0
2020年03.22,768,2,752,3,7,0
2020年03.23,768,0,752,0,7,0
2020年03.24,769,1,752,0,7,0
2020年03.25,769,2,752,0,7,0
2020年03.26,771,2,752,0,7,0
2020年03.27,772,0,752,0,7,0
2020年03.28,772,0,752,0,7,0
2020年03.29,773,1,753,1,7,0
2020年03.30,774,1,753,0,7,0
2020年03.31,774,0,753,0,7,0
2020年04.01,775,1,753,0,7,0
2020年04.02,778,3,754,1,7,0
2020年04.03,778,0,755,1,7,0
2020年04.04,779,1,755,0,7,0
2020年04.05,780,1,755,0,7,0
2020年04.06,781,1,755,0,7,0
2020年04.07,783,2,755,0,7,0
2020年04.08,783,0,756,1,7,0
2020年04.09,783,0,756,0,7,0
2020年04.10,784,1,757,1,7,0
2020年04.11,784,0,757,0,7,0
2020年04.12,784,0,758,1,7,0
2020年04.13,784,0,759,1,7,0
2020年04.14,784,0,761,2,7,0
2020年04.15,784,0,761,0,7,0
2020年04.16,787,3,761,0,7,0
2020年04.17,787,0,765,4,7,0
2020年04.18,787,0,765,0,7,0
2020年04.19,787,0,765,0,7,0
2020年04.20,787,0,765,0,7,0
2020年04.21,787,0,766,1,7,0
2020年04.22,787,0,766,0,7,0
2020年04.23,787,0,766,0,7,0
2020年04.24,787,0,767,1,7,0
2020年04.25,787,0,767,0,7,0
2020年04.26,787,0,768,1,7,0
2020年04.27,787,0,768,0,7,0
2020年04.28,787,0,771,3,7,0
2020年04.29,787,0,772,1,7,0
2020年04.30,787,0,772,0,7,0
2020年05.01,787,0,772,0,7,0
2020年05.02,787,0,772,0,7,0
2020年05.03,788,1,773,1,7,0
2020年05.04,788,0,773,0,7,0
2020年05.05,788,0,775,2,7,0
2020年05.06,788,0,775,0,7,0
2020年05.07,788,0,776,1,7,0
2020年05.08,788,0,776,0,7,0
2020年05.09,788,0,776,0,7,0
2020年05.10,788,0,777,1,7,0
2020年05.11,788,0,777,0,7,0
2020年05.12,788,0,777,0,7,0
2020年05.13,788,0,777,0,7,0
2020年05.14,788,0,778,1,7,0
2020年05.15,788,0,780,2,7,0
2020年05.16,788,0,780,0,7,0
2020年05.17,788,0,780,0,7,0
2020年05.18,788,0,780,0,7,0
2020年05.19,788,0,780,0,7,0
2020年05.20,788,0,780,0,7,0
2020年05.21,788,0,780,0,7,0
2020年05.22,788,0,780,0,7,0
2020年05.23,788,0,780,0,7,0
2020年05.24,788,0,780,0,7,0
2020年05.25,788,0,780,0,7,0
2020年05.26,788,0,780,0,7,0
2020年05.27,788,0,780,0,7,0
2020年05.28,788,0,780,0,7,0
2020年05.29,790,2,780,0,7,0
2020年05.30,792,2,780,0,7,0
2020年05.31,792,0,780,0,7,0
2020年06.01,792,0,780,0,7,0
2020年06.02,792,0,780,0,7,0
2020年06.03,792,0,780,0,7,0
2020年06.04,792,0,780,0,7,0
2020年06.05,792,0,780,0,7,0
2020年06.06,792,0,780,0,7,0
2020年06.07,792,0,781,1,7,0
2020年06.08,792,0,781,0,7,0
2020年06.09,792,0,781,0,7,0
2020年06.10,792,0,781,0,7,0
2020年06.11,792,0,781,0,7,0
2020年06.12,792,0,781,0,7,0
2020年06.13,792,0,782,1,7,0
2020年06.14,792,0,782,0,7,0
2020年06.15,792,0,783,1,7,0
2020年06.16,792,0,783,0,7,0
2020年06.17,792,0,783,0,7,0
2020年06.18,792,0,783,0,7,0
2020年06.19,792,0,785,2,7,0
2020年06.20,792,0,785,0,7,0
2020年06.21,792,0,785,0,7,0
2020年06.22,792,0,785,0,7,0
2020年06.23,792,0,785,0,7,0
2020年06.24,792,0,785,0,7,0
2020年06.25,792,0,785,0,7,0
2020年06.26,792,0,785,0,7,0
2020年06.27,792,0,785,0,7,0
2020年06.28,792,0,785,0,7,0
2020年06.29,792,0,785,0,7,0
2020年06.30,792,0,785,0,7,0
2020年07.01,792,0,785,0,7,0
2020年07.02,792,0,785,0,7,0
2020年07.03,792,0,785,0,7,0
2020年07.04,792,0,785,0,7,0
2020年07.05,792,0,785,0,7,0
2020年07.06,792,0,785,0,7,0
2020年07.07,792,0,785,0,7,0
2020年07.08,792,0,785,0,7,0
2020年07.09,792,0,785,0,7,0
2020年07.10,792,0,785,0,7,0
2020年07.11,792,0,785,0,7,0
2020年07.12,793,1,785,0,7,0
2020年07.13,793,0,785,0,7,0
2020年07.14,793,0,785,0,7,0
2020年07.15,793,0,785,0,7,0
2020年07.16,794,1,785,0,7,0
2020年07.17,796,2,785,0,7,0
2020年07.18,797,1,785,0,7,0
2020年07.19,798,1,785,0,7,0
2020年07.20,798,0,785,0,7,0
2020年07.21,798,0,785,0,7,0
2020年07.22,798,0,785,0,7,0
2020年07.23,798,0,785,0,7,0
2020年07.24,798,0,785,0,7,0
2020年07.25,799,1,785,0,7,0
2020年07.26,799,0,785,0,7,0
2020年07.27,799,0,785,0,7,0
2020年07.28,799,0,785,0,7,0
2020年07.29,799,0,785,0,7,0
2020年07.30,799,0,785,0,7,0
2020年07.31,799,0,786,1,7,0
2020年08.01,802,3,786,0,7,0
2020年08.02,804,2,786,0,7,0
2020年08.03,804,0,786,0,7,0
2020年08.04,804,0,786,0,7,0
2020年08.05,805,1,786,0,7,0
2020年08.06,805,0,787,1,7,0
2020年08.07,806,1,788,1,7,0
2020年08.08,806,0,788,0,7,0
2020年08.09,810,4,788,0,7,0
2020年08.10,816,6,788,0,7,0
2020年08.11,817,1,788,0,7,0
2020年08.12,821,4,789,1,7,0
2020年08.13,821,0,789,0,7,0
2020年08.14,821,0,790,1,7,0
2020年08.15,821,0,790,0,7,0
2020年08.16,822,1,790,0,7,0
2020年08.17,822,0,793,3,7,0
2020年08.18,823,1,793,0,7,0
2020年08.19,824,1,793,0,7,0
2020年08.20,827,3,794,1,7,0
2020年08.21,830,3,795,1,7,0
2020年08.22,830,0,797,2,7,0
2020年08.23,831,1,798,1,7,0
2020年08.24,831,0,798,0,7,0
2020年08.25,831,0,801,3,7,0
2020年08.26,831,0,801,0,7,0
2020年08.27,831,0,802,1,7,0
2020年08.28,831,0,806,4,7,0
2020年08.29,831,0,807,1,7,0
2020年08.30,831,0,807,0,7,0
2020年08.31,831,0,808,1,7,0
2020年09.01,831,0,809,1,7,0
2020年09.02,831,0,809,0,7,0
2020年09.03,831,0,809,0,7,0
2020年09.04,831,0,809,0,7,0
2020年09.05,831,0,810,1,7,0
2020年09.06,831,0,811,1,7,0
2020年09.07,831,0,811,0,7,0
2020年09.08,831,0,811,0,7,0
2020年09.09,831,0,811,0,7,0
2020年09.10,831,0,812,1,7,0
