日期,总确诊数,新增确诊数,总治愈数,新增治愈数,总死亡数,新增死亡数
﻿2020年01.24,6,0,0,0,0,0
2020年01.25,9,3,0,0,0,0
2020年01.26,13,4,0,0,0,0
2020年01.27,20,7,0,0,0,0
2020年01.28,27,7,0,0,0,0
2020年01.29,35,8,1,1,0,0
2020年01.30,39,4,1,0,0,0
2020年01.31,47,8,1,0,0,0
2020年02.01,56,9,1,0,0,0
2020年02.02,66,10,2,1,0,0
2020年02.03,74,8,2,0,0,0
2020年02.04,81,7,4,2,0,0
2020年02.05,90,9,6,2,0,0
2020年02.06,96,6,12,6,0,0
2020年02.07,104,8,15,3,0,0
2020年02.08,115,12,21,6,0,0
2020年02.09,119,4,25,4,0,0
2020年02.10,122,3,26,1,0,0
2020年02.11,124,2,30,4,0,0
2020年02.12,126,2,33,3,0,0
2020年02.13,126,0,36,3,0,0
2020年02.14,127,1,38,2,0,0
2020年02.15,128,1,46,8,0,0
2020年02.16,129,1,50,4,0,0
2020年02.17,130,1,53,3,0,0
2020年02.18,131,1,61,8,0,0
2020年02.19,131,0,68,7,0,0
2020年02.20,132,1,76,8,0,0
2020年02.21,132,0,78,2,0,0
2020年02.22,132,0,81,3,0,0
2020年02.23,132,0,88,7,0,0
2020年02.24,133,0,94,6,0,0
2020年02.25,133,1,94,0,0,0
2020年02.26,133,0,107,13,0,0
2020年02.27,133,0,112,5,0,0
2020年02.29,133,0,114,2,0,0
2020年03.01,133,0,116,2,0,0
2020年03.02,133,0,119,3,0,0
2020年03.03,133,0,124,5,0,0
2020年03.04,133,0,124,0,0,0
2020年03.05,133,0,124,0,0,0
2020年03.06,133,0,126,2,0,0
2020年03.07,133,0,126,0,0,0
2020年03.08,133,0,127,1,0,0
2020年03.09,133,0,131,4,0,0
2020年03.10,133,0,132,1,0,0
2020年03.11,133,0,131,-1,0,0
2020年03.12,133,0,132,1,0,0
2020年03.13,133,0,133,1,0,0
2020年03.14,133,0,133,0,0,0
2020年03.15,133,0,133,0,0,0
2020年03.16,133,0,133,0,0,0
2020年03.17,133,0,133,0,0,0
2020年03.18,133,0,133,0,0,0
2020年03.19,133,0,133,0,0,0
2020年03.20,133,0,133,0,0,0
2020年03.21,133,0,133,0,0,0
2020年03.22,133,0,133,0,0,0
2020年03.23,134,1,133,0,0,0
2020年03.24,134,0,133,0,0,0
2020年03.25,135,1,133,0,0,0
2020年03.26,135,0,133,0,0,0
2020年03.27,135,0,133,0,0,0
2020年03.28,136,1,133,0,0,0
2020年03.29,136,0,133,0,0,0
2020年03.30,136,0,133,0,0,0
2020年03.31,137,1,133,0,0,0
2020年04.01,137,0,133,0,0,0
2020年04.02,137,0,133,0,0,0
2020年04.03,137,0,133,0,0,0
2020年04.04,138,1,133,0,0,0
2020年04.05,138,0,133,0,0,0
2020年04.06,138,0,133,0,0,0
2020年04.07,163,25,134,1,0,0
2020年04.08,166,3,134,0,0,0
2020年04.09,168,2,134,0,0,0
2020年04.10,172,4,135,1,0,0
2020年04.11,172,0,135,0,0,0
2020年04.12,173,1,135,0,0,0
2020年04.13,173,0,135,0,0,0
2020年04.14,186,13,135,0,0,0
2020年04.15,194,8,135,0,0,0
2020年04.16,197,3,135,0,0,0
2020年04.17,197,0,135,0,0,0
2020年04.18,197,0,135,0,0,0
2020年04.19,197,0,135,0,0,0
2020年04.20,197,0,140,5,0,0
2020年04.21,197,0,140,0,0,0
2020年04.22,197,0,142,2,0,0
2020年04.23,197,0,142,0,0,0
2020年04.24,197,0,149,7,0,0
2020年04.25,197,0,154,5,0,0
2020年04.26,197,0,157,3,0,0
2020年04.27,197,0,160,3,0,0
2020年04.28,197,0,160,0,0,0
2020年04.29,197,0,164,4,0,0
2020年04.30,197,0,172,8,0,0
2020年05.01,197,0,176,4,0,0
2020年05.02,198,1,176,0,0,0
2020年05.03,198,0,180,4,0,0
2020年05.04,198,0,190,10,0,0
2020年05.05,198,0,193,3,0,0
2020年05.06,198,0,194,1,0,0
2020年05.07,198,0,195,1,0,0
2020年05.08,198,0,196,1,0,0
2020年05.09,198,0,197,1,0,0
2020年05.10,198,0,197,0,0,0
2020年05.11,198,0,197,0,0,0
2020年05.12,198,0,198,1,0,0
2020年05.13,198,0,198,0,0,0
2020年05.14,198,0,198,0,0,0
2020年05.15,198,0,198,0,0,0
2020年05.16,198,0,198,0,0,0
2020年05.17,198,0,198,0,0,0
2020年05.18,198,0,198,0,0,0
2020年05.19,198,0,198,0,0,0
2020年05.20,198,0,198,0,0,0
2020年05.21,198,0,198,0,0,0
2020年05.22,198,0,198,0,0,0
2020年05.23,198,0,198,0,0,0
2020年05.24,198,0,198,0,0,0
2020年05.25,198,0,198,0,0,0
2020年05.26,198,0,198,0,0,0
2020年05.27,198,0,198,0,0,0
2020年05.28,198,0,198,0,0,0
2020年05.29,198,0,198,0,0,0
2020年05.30,198,0,198,0,0,0
2020年05.31,198,0,198,0,0,0
2020年06.01,198,0,198,0,0,0
2020年06.02,198,0,198,0,0,0
2020年06.03,198,0,198,0,0,0
2020年06.04,198,0,198,0,0,0
2020年06.05,198,0,198,0,0,0
2020年06.06,198,0,198,0,0,0
2020年06.07,198,0,198,0,0,0
2020年06.08,198,0,198,0,0,0
2020年06.09,198,0,198,0,0,0
2020年06.10,198,0,198,0,0,0
2020年06.11,198,0,198,0,0,0
2020年06.12,198,0,198,0,0,0
2020年06.13,198,0,198,0,0,0
2020年06.14,198,0,198,0,0,0
2020年06.15,198,0,198,0,0,0
2020年06.16,198,0,198,0,0,0
2020年06.17,198,0,198,0,0,0
2020年06.18,198,0,198,0,0,0
2020年06.19,198,0,198,0,0,0
2020年06.20,198,0,198,0,0,0
2020年06.21,198,0,198,0,0,0
2020年06.22,198,0,198,0,0,0
2020年06.23,198,0,198,0,0,0
2020年06.24,198,0,198,0,0,0
2020年06.25,198,0,198,0,0,0
2020年06.26,198,0,198,0,0,0
2020年06.27,198,0,198,0,0,0
2020年06.28,198,0,198,0,0,0
2020年06.29,198,0,198,0,0,0
2020年06.30,198,0,198,0,0,0
2020年07.01,198,0,198,0,0,0
2020年07.02,198,0,198,0,0,0
2020年07.03,198,0,198,0,0,0
2020年07.04,198,0,198,0,0,0
2020年07.05,198,0,198,0,0,0
2020年07.06,198,0,198,0,0,0
2020年07.07,199,1,198,0,0,0
2020年07.08,199,0,198,0,0,0
2020年07.09,200,1,198,0,0,0
2020年07.10,200,0,198,0,0,0
2020年07.11,200,0,198,0,0,0
