日期,总确诊数,新增确诊数,总治愈数,新增治愈数,总死亡数,新增死亡数
﻿2020年01.21,26,0,0,0,0,0
2020年01.22,32,6,0,0,0,0
2020年01.23,53,21,2,2,0,0
2020年01.24,78,25,2,0,0,0
2020年01.26,146,48,2,0,0,0
2020年01.27,188,42,4,2,0,0
2020年01.28,241,53,5,1,0,0
2020年01.29,311,70,6,1,0,0
2020年01.30,393,82,9,3,0,0
2020年01.31,520,127,9,0,0,0
2020年02.01,604,84,12,3,0,0
2020年02.02,683,79,14,2,0,0
2020年02.03,797,114,20,6,0,0
2020年02.04,870,73,32,12,0,0
2020年02.05,944,74,49,17,0,0
2020年02.06,1018,74,68,19,0,0
2020年02.07,1075,57,97,29,1,1
2020年02.08,1120,45,125,28,1,0
2020年02.09,1151,31,143,18,1,0
2020年02.10,1177,26,181,38,1,0
2020年02.11,1219,42,241,60,1,0
2020年02.12,1241,22,284,43,1,0
2020年02.13,1241,22,284,0,2,1
2020年02.14,1294,33,386,102,2,0
2020年02.15,1316,22,436,50,2,0
2020年02.16,1322,6,473,37,4,2
2020年02.17,1328,6,530,57,4,0
2020年02.18,1331,3,571,41,5,1
2020年02.19,1332,1,619,48,5,0
2020年02.20,1333,1,664,45,5,0
2020年02.21,1339,6,720,56,5,0
2020年02.22,1342,3,740,20,6,1
2020年02.23,1345,3,772,32,6,0
2020年02.24,1347,2,805,33,7,1
2020年02.25,1347,0,841,36,7,0
2020年02.26,1347,0,873,32,7,0
2020年02.27,1348,1,919,46,7,0
2020年02.28,1349,1,972,53,7,0
2020年02.29,1349,0,1009,37,7,0
2020年03.01,1350,1,1034,25,7,0
2020年03.02,1350,0,1081,47,7,0
2020年03.03,1350,0,1129,48,7,0
2020年03.04,1350,0,1159,30,7,0
2020年03.05,1351,1,1181,22,7,0
2020年03.06,1352,1,1233,52,7,0
2020年03.07,1352,0,1250,17,7,0
2020年03.08,1352,0,1260,10,8,1
2020年03.09,1353,1,1270,10,8,0
2020年03.10,1353,0,1282,12,8,0
2020年03.11,1356,3,1288,6,8,0
2020年03.12,1356,0,1296,8,8,0
2020年03.13,1356,0,1299,3,8,0
2020年03.14,1357,1,1299,0,8,0
2020年03.15,1361,4,1306,7,8,0
2020年03.16,1364,3,1307,1,8,0
2020年03.17,1370,6,1312,5,8,0
2020年03.18,1378,8,1318,6,8,0
2020年03.19,1392,14,1322,4,8,0
2020年03.20,1399,7,1325,3,8,0
2020年03.21,1407,8,1329,4,8,0
2020年03.22,1413,6,1332,3,8,0
2020年03.23,1428,15,1333,1,8,0
2020年03.24,1433,5,1334,1,8,0
2020年03.25,1444,11,1336,2,8,0
2020年03.26,1456,12,1337,1,8,0
2020年03.27,1467,11,1341,4,8,0
2020年03.28,1475,8,1349,8,8,0
2020年03.29,1484,9,1351,2,8,0
2020年03.30,1490,6,1353,2,8,0
2020年03.31,1501,11,1357,4,8,0
2020年04.01,1507,6,1365,8,8,0
2020年04.02,1514,7,1368,3,8,0
2020年04.03,1516,2,1378,10,8,0
2020年04.04,1524,8,1387,9,8,0
2020年04.05,1532,8,1395,8,8,0
2020年04.06,1533,1,1401,6,8,0
2020年04.07,1536,3,1411,10,8,0
2020年04.08,1539,3,1423,12,8,0
2020年04.09,1544,5,1434,11,8,0
2020年04.10,1548,4,1437,3,8,0
2020年04.11,1552,4,1443,6,8,0
2020年04.12,1555,3,1454,11,8,0
2020年04.13,1564,9,1458,4,8,0
2020年04.14,1566,2,1462,4,8,0
2020年04.15,1571,5,1471,9,8,0
2020年04.16,1577,6,1475,4,8,0
2020年04.17,1579,2,1482,7,8,0
2020年04.18,1580,1,1490,8,8,0
2020年04.19,1581,1,1494,4,8,0
2020年04.20,1582,1,1501,7,8,0
2020年04.21,1582,0,1511,10,8,0
2020年04.22,1584,2,1518,7,8,0
2020年04.23,1585,1,1528,10,8,0
2020年04.24,1585,0,1534,6,8,0
2020年04.25,1586,1,1542,8,8,0
2020年04.26,1587,1,1542,0,8,0
2020年04.27,1587,0,1547,5,8,0
2020年04.28,1588,1,1554,7,8,0
2020年04.29,1588,0,1557,3,8,0
2020年04.30,1588,0,1565,8,8,0
2020年05.01,1588,0,1567,2,8,0
2020年05.02,1588,0,1567,0,8,0
2020年05.03,1588,0,1569,2,8,0
2020年05.04,1588,0,1571,2,8,0
2020年05.05,1588,0,1575,4,8,0
2020年05.06,1589,1,1575,0,8,0
2020年05.07,1589,0,1575,0,8,0
2020年05.08,1589,0,1576,1,8,0
2020年05.09,1589,0,1576,0,8,0
2020年05.10,1589,0,1577,1,8,0
2020年05.11,1589,0,1578,1,8,0
