日期,总确诊数,新增确诊数,总治愈数,新增治愈数,总死亡数,新增死亡数
﻿2020年01.22,5,0,0,0,0,0
2020年01.23,13,8,0,0,0,0
2020年01.24,23,10,0,0,0,0
2020年01.25,33,10,0,0,0,0
2020年01.26,46,13,0,0,0,0
2020年01.27,51,5,0,0,0,0
2020年01.28,58,7,2,2,0,0
2020年01.29,78,20,2,0,0,0
2020年01.30,87,9,2,0,0,0
2020年01.31,100,13,2,0,0,0
2020年02.01,111,11,2,0,0,0
2020年02.02,127,16,2,0,0,0
2020年02.03,139,12,7,5,0,0
2020年02.04,150,11,10,3,0,0
2020年02.05,168,18,14,4,0,0
2020年02.06,172,4,17,3,0,0
2020年02.07,183,11,17,0,0,0
2020年02.08,195,12,18,1,1,1
2020年02.09,210,15,18,0,1,0
2020年02.10,215,5,30,12,1,0
2020年02.11,222,7,31,1,1,0
2020年02.12,222,0,33,2,2,1
2020年02.13,226,4,35,2,2,0
2020年02.14,235,9,40,5,2,0
2020年02.15,237,2,46,6,2,0
2020年02.16,238,1,51,5,2,0
2020年02.17,242,4,58,7,2,0
2020年02.18,244,2,76,18,2,0
2020年02.19,245,1,87,11,2,0
2020年02.20,246,1,95,8,2,0
2020年02.21,249,3,99,4,2,0
2020年02.22,249,0,104,5,2,0
2020年02.23,251,2,107,3,2,0
2020年02.24,252,1,129,22,2,0
2020年02.25,252,0,138,9,2,0
2020年02.26,252,0,159,21,2,0
2020年02.27,252,0,166,7,2,0
2020年02.28,252,0,172,6,2,0
2020年02.29,252,0,179,7,2,0
2020年03.01,252,0,188,9,2,0
2020年03.02,252,0,202,14,2,0
2020年03.03,252,0,202,0,2,0
2020年03.04,252,0,213,11,2,0
2020年03.05,252,0,217,4,2,0
2020年03.06,252,0,219,2,2,0
2020年03.07,252,0,223,4,2,0
2020年03.08,252,0,230,7,2,0
2020年03.09,252,0,234,4,2,0
2020年03.10,252,0,237,3,2,0
2020年03.11,252,0,241,4,2,0
2020年03.12,252,0,243,2,2,0
2020年03.13,252,0,243,0,2,0
2020年03.14,252,0,243,0,2,0
2020年03.15,252,0,247,4,2,0
2020年03.16,253,1,248,1,2,0
2020年03.17,253,0,250,2,2,0
2020年03.18,253,0,250,0,2,0
2020年03.19,254,1,250,0,2,0
2020年03.20,254,1,250,0,2,0
2020年03.21,254,0,250,0,2,0
2020年03.22,254,0,250,0,2,0
2020年03.23,254,0,250,0,2,0
2020年03.24,254,0,250,0,2,0
2020年03.25,254,0,250,0,2,0
2020年03.26,254,0,250,0,2,0
2020年03.27,254,0,250,0,2,0
2020年03.28,254,0,250,0,2,0
2020年03.29,254,0,250,0,2,0
2020年03.30,254,0,250,0,2,0
2020年03.31,254,0,250,0,2,0
2020年04.01,254,0,252,2,2,0
2020年04.02,254,0,252,0,2,0
2020年04.03,254,0,252,0,2,0
2020年04.04,254,0,252,0,2,0
2020年04.05,254,0,252,0,2,0
2020年04.06,254,0,252,0,2,0
2020年04.07,254,0,252,0,2,0
2020年04.08,254,0,252,0,2,0
2020年04.09,254,0,252,0,2,0
2020年04.10,254,0,252,0,2,0
2020年04.11,254,0,252,0,2,0
2020年04.12,254,0,252,0,2,0
2020年04.13,254,0,252,0,2,0
2020年04.14,254,0,252,0,2,0
2020年04.15,254,0,252,0,2,0
2020年04.16,254,0,252,0,2,0
2020年04.17,254,0,252,0,2,0
2020年04.18,254,0,252,0,2,0
2020年04.19,254,0,252,0,2,0
2020年04.20,254,0,252,0,2,0
2020年04.21,254,0,252,0,2,0
2020年04.22,254,0,252,0,2,0
2020年04.23,254,0,252,0,2,0
2020年04.24,254,0,252,0,2,0
2020年04.25,254,0,252,0,2,0
2020年04.26,254,0,252,0,2,0
2020年04.27,254,0,252,0,2,0
2020年04.28,254,0,252,0,2,0
2020年04.29,254,0,252,0,2,0
2020年04.30,254,0,252,0,2,0
2020年05.01,254,0,252,0,2,0
2020年05.02,254,0,252,0,2,0
2020年05.03,254,0,252,0,2,0
2020年05.04,254,0,252,0,2,0
