日期,总确诊数,新增确诊数,总治愈数,新增治愈数,总死亡数,新增死亡数
﻿2020年01.20,0,0,0,0,0,0
2020年01.21,0,0,0,0,0,0
2020年01.22,0,0,0,0,0,0
2020年01.23,2,0,0,0,0,0
2020年01.23,2,2,0,0,0,0
2020年01.24,3,1,0,0,0,0
2020年01.24,3,1,0,0,0,0
2020年01.25,4,1,0,0,0,0
2020年01.25,4,1,0,0,0,0
2020年01.26,5,1,0,0,0,0
2020年01.26,5,1,0,0,0,0
2020年01.27,10,5,0,0,0,0
2020年01.27,10,5,0,0,0,0
2020年01.28,13,3,0,0,0,0
2020年01.28,13,3,0,0,0,0
2020年01.29,14,1,0,0,0,0
2020年01.29,14,1,0,0,0,0
2020年01.30,17,3,0,0,0,0
2020年01.30,17,3,0,0,0,0
2020年01.31,18,1,0,0,0,0
2020年01.31,18,1,0,0,0,0
2020年02.01,21,3,0,0,0,0
2020年02.01,21,3,0,0,0,0
2020年02.02,24,3,0,0,0,0
2020年02.02,24,3,0,0,0,0
2020年02.03,29,5,0,0,0,0
2020年02.03,29,5,0,0,0,0
2020年02.04,32,3,0,0,0,0
2020年02.04,32,3,0,0,0,0
2020年02.05,36,4,0,0,0,0
2020年02.05,36,4,0,0,0,0
2020年02.06,39,3,0,0,0,0
2020年02.07,42,3,0,0,0,0
2020年02.08,45,3,0,0,0,0
2020年02.09,49,4,0,0,0,0
2020年02.10,55,6,0,0,0,0
2020年02.11,59,4,3,3,0,0
2020年02.12,63,4,3,0,1,1
2020年02.13,65,2,6,3,1,0
2020年02.14,70,5,6,0,1,0
2020年02.15,71,1,11,5,1,0
2020年02.16,75,4,12,1,1,0
2020年02.17,76,1,12,0,1,0
2020年02.18,76,0,14,2,1,0
2020年02.19,76,0,20,6,1,0
2020年02.20,76,0,22,2,1,0
2020年02.21,76,0,24,2,2,1
2020年02.22,76,0,25,1,2,0
2020年02.23,76,0,28,3,2,0
2020年02.24,76,0,30,2,2,0
2020年02.25,76,0,30,0,2,0
2020年02.26,76,0,34,4,2,0
2020年02.27,76,0,43,9,2,0
2020年02.28,76,0,52,9,3,1
2020年02.29,76,0,62,10,3,0
2020年03.01,76,0,64,2,3,0
2020年03.02,76,0,64,0,3,0
2020年03.03,76,0,68,4,3,0
2020年03.04,76,0,69,1,3,0
2020年03.05,76,0,70,1,3,0
2020年03.06,76,0,71,1,3,0
2020年03.07,76,0,72,1,3,0
2020年03.08,76,0,73,1,3,0
2020年03.09,76,0,73,0,3,0
2020年03.10,76,0,73,0,3,0
2020年03.11,76,0,73,0,3,0
2020年03.12,76,0,73,0,3,0
2020年03.13,76,0,73,0,3,0
2020年03.14,76,0,73,0,3,0
2020年03.15,76,0,73,0,3,0
2020年03.16,76,0,73,0,3,0
2020年03.17,76,0,73,0,3,0
2020年03.18,76,0,73,0,3,0
2020年03.19,76,0,73,0,3,0
2020年03.20,76,0,73,0,3,0
2020年03.21,76,0,73,0,3,0
2020年03.22,76,0,73,0,3,0
2020年03.23,76,0,73,0,3,0
2020年03.24,76,0,73,0,3,0
2020年03.25,76,0,73,0,3,0
2020年03.26,76,0,73,0,3,0
2020年03.27,76,0,73,0,3,0
2020年03.28,76,0,73,0,3,0
2020年03.29,76,0,73,0,3,0
2020年03.30,76,0,73,0,3,0
2020年03.31,76,0,73,0,3,0
2020年04.01,76,0,73,0,3,0
2020年04.02,76,0,73,0,3,0
2020年04.03,76,0,73,0,3,0
2020年04.04,76,0,73,0,3,0
2020年04.05,76,0,73,0,3,0
2020年04.06,76,0,73,0,3,0
2020年04.07,76,0,73,0,3,0
2020年04.08,76,0,73,0,3,0
2020年04.09,76,0,73,0,3,0
2020年04.10,76,0,73,0,3,0
2020年04.11,76,0,73,0,3,0
2020年04.12,76,0,73,0,3,0
2020年04.13,76,0,73,0,3,0
2020年04.14,76,0,73,0,3,0
2020年04.15,76,0,73,0,3,0
2020年04.16,76,0,73,0,3,0
2020年04.17,76,0,73,0,3,0
2020年04.18,76,0,73,0,3,0
2020年04.19,76,0,73,0,3,0
2020年04.20,76,0,73,0,3,0
2020年04.21,76,0,73,0,3,0
2020年04.22,76,0,73,0,3,0
2020年04.23,76,0,73,0,3,0
2020年04.24,76,0,73,0,3,0
2020年04.25,76,0,73,0,3,0
2020年04.26,76,0,73,0,3,0
2020年04.27,76,0,73,0,3,0
2020年04.28,76,0,73,0,3,0
2020年04.29,76,0,73,0,3,0
2020年04.30,76,0,73,0,3,0
2020年05.01,76,0,73,0,3,0
2020年05.02,76,0,73,0,3,0
2020年05.03,76,0,73,0,3,0
2020年05.04,76,0,73,0,3,0
2020年05.05,76,0,73,0,3,0
2020年05.06,76,0,73,0,3,0
2020年05.07,76,0,73,0,3,0
2020年05.08,76,0,73,0,3,0
2020年05.09,76,0,73,0,3,0
2020年05.10,76,0,73,0,3,0
2020年05.11,76,0,73,0,3,0
2020年05.12,76,0,73,0,3,0
2020年05.13,76,0,73,0,3,0
2020年05.14,76,0,73,0,3,0
2020年05.15,76,0,73,0,3,0
2020年05.16,76,0,73,0,3,0
2020年05.17,76,0,73,0,3,0
2020年05.18,76,0,73,0,3,0
2020年05.19,76,0,73,0,3,0
2020年05.20,76,0,73,0,3,0
2020年05.21,76,0,73,0,3,0
2020年05.22,76,0,73,0,3,0
2020年05.23,76,0,73,0,3,0
2020年05.24,76,0,73,0,3,0
2020年05.25,76,0,73,0,3,0
2020年05.26,76,0,73,0,3,0
