日期,总确诊数,新增确诊数,总治愈数,新增治愈数,总死亡数,新增死亡数
﻿2020年01.22,1,0,0,0,0,0
2020年01.23,9,4,1,1,0,0
2020年01.24,18,9,1,0,0,0
2020年01.25,31,13,1,0,0,0
2020年01.26,47,16,1,0,0,0
2020年01.27,70,23,1,0,0,0
2020年01.28,99,29,1,0,0,0
2020年01.29,129,30,1,0,0,0
2020年01.30,168,39,2,1,0,0
2020年01.31,202,34,6,4,0,0
2020年02.01,236,34,8,2,0,0
2020年02.02,271,35,7,-1,0,0
2020年02.03,308,37,8,1,0,0
2020年02.04,341,33,13,5,0,0
2020年02.05,373,32,26,13,0,0
2020年02.06,408,35,38,12,0,0
2020年02.07,439,31,43,5,0,0
2020年02.08,468,29,51,8,0,0
2020年02.09,492,24,72,21,0,0
2020年02.10,515,23,84,12,0,0
2020年02.11,543,28,94,10,0,0
2020年02.12,570,27,131,37,0,0
2020年02.13,593,23,137,6,0,0
2020年02.14,604,11,160,23,0,0
2020年02.15,617,13,190,30,0,0
2020年02.16,626,9,226,36,0,0
2020年02.17,629,3,263,37,0,0
2020年02.18,631,2,296,33,0,0
2020年02.19,631,0,325,29,0,0
2020年02.20,631,0,352,27,0,0
2020年02.21,631,0,387,35,0,0
2020年02.22,631,0,411,24,0,0
2020年02.23,631,0,427,16,0,0
2020年02.24,631,0,458,31,0,0
2020年02.25,631,0,463,5,0,0
2020年02.26,631,0,494,31,0,0
2020年02.27,631,0,506,12,0,0
2020年02.28,631,0,519,13,0,0
2020年02.29,631,0,529,10,0,0
2020年03.01,631,0,536,7,0,0
2020年03.02,631,0,555,19,0,0
2020年03.03,631,0,565,10,0,0
2020年03.04,631,0,580,15,0,0
2020年03.05,631,0,588,8,0,0
2020年03.06,631,0,601,13,0,0
2020年03.07,631,0,610,9,0,0
2020年03.08,631,0,618,8,0,0
2020年03.09,631,0,622,4,0,0
2020年03.10,631,0,627,5,0,0
2020年03.11,631,0,628,1,0,0
2020年03.12,631,0,630,2,0,0
2020年03.13,631,0,630,0,0,0
2020年03.14,631,0,631,1,0,0
2020年03.15,631,0,631,0,0,0
2020年03.16,631,0,631,0,0,0
2020年03.17,631,0,631,0,0,0
2020年03.18,631,0,631,0,0,0
2020年03.19,631,0,631,0,0,0
2020年03.20,631,0,631,0,0,0
2020年03.21,633,2,631,0,0,0
2020年03.22,633,0,631,0,0,0
2020年03.23,636,3,631,0,0,0
2020年03.24,638,2,631,0,0,0
2020年03.25,640,2,631,0,0,0
2020年03.26,641,1,631,0,0,0
2020年03.27,641,1,631,0,0,0
2020年03.28,644,3,631,0,0,0
2020年03.29,645,1,631,0,0,0
2020年03.30,646,1,631,0,0,0
2020年03.31,646,0,631,0,0,0
2020年04.01,647,1,631,0,0,0
2020年04.02,651,4,632,1,0,0
2020年04.03,651,0,632,0,0,0
2020年04.04,651,0,633,1,0,0
2020年04.05,651,0,633,0,0,0
2020年04.06,651,0,633,0,0,0
2020年04.07,651,0,633,0,0,0
2020年04.08,651,0,633,0,0,0
2020年04.09,651,0,634,1,0,0
2020年04.10,652,1,636,2,0,0
2020年04.11,653,1,638,2,0,0
2020年04.12,653,0,638,0,0,0
2020年04.13,653,0,641,3,0,0
2020年04.14,653,0,642,1,0,0
2020年04.15,653,0,642,0,0,0
2020年04.16,653,0,643,1,0,0
2020年04.17,653,0,643,0,0,0
2020年04.18,653,0,643,0,0,0
2020年04.19,653,0,643,0,0,0
2020年04.20,653,0,644,1,0,0
2020年04.21,653,0,645,1,0,0
2020年04.22,653,0,645,0,0,0
2020年04.23,653,0,646,1,0,0
2020年04.24,653,0,646,0,0,0
2020年04.25,653,0,646,0,0,0
2020年04.26,653,0,646,0,0,0
2020年04.27,653,0,646,0,0,0
2020年04.28,653,0,647,1,0,0
2020年04.29,653,0,648,1,0,0
2020年04.30,653,0,650,2,0,0
2020年05.01,653,0,650,0,0,0
2020年05.02,653,0,650,0,0,0
2020年05.03,653,0,650,0,0,0
2020年05.04,653,0,650,0,0,0
2020年05.05,653,0,650,0,0,0
2020年05.06,653,0,651,1,0,0
2020年05.07,653,0,652,1,0,0
2020年05.08,653,0,652,0,0,0
2020年05.09,653,0,652,0,0,0
2020年05.10,653,0,653,1,0,0
2020年05.11,653,0,653,0,0,0
2020年05.12,653,0,653,0,0,0
2020年05.13,653,0,653,0,0,0
2020年05.14,653,0,653,0,0,0
2020年05.15,653,0,653,0,0,0
2020年05.16,653,0,653,0,0,0
2020年05.17,653,0,653,0,0,0
2020年05.18,653,0,653,0,0,0
2020年05.19,653,0,653,0,0,0
2020年05.20,653,0,653,0,0,0
2020年05.21,653,0,653,0,0,0
2020年05.22,653,0,653,0,0,0
2020年05.23,653,0,653,0,0,0
2020年05.24,653,0,653,0,0,0
2020年05.25,653,0,653,0,0,0
2020年05.26,653,0,653,0,0,0
2020年05.27,653,0,653,0,0,0
2020年05.28,653,0,653,0,0,0
2020年05.29,653,0,653,0,0,0
2020年05.30,653,0,653,0,0,0
2020年05.31,653,0,653,0,0,0
2020年06.01,653,0,653,0,0,0
2020年06.02,653,0,653,0,0,0
2020年06.03,653,0,653,0,0,0
2020年06.04,653,0,653,0,0,0
2020年06.05,653,0,653,0,0,0
2020年06.06,653,0,653,0,0,0
2020年06.07,653,0,653,0,0,0
2020年06.08,653,0,653,0,0,0
2020年06.09,653,0,653,0,0,0
2020年06.10,653,0,653,0,0,0
2020年06.11,653,0,653,0,0,0
2020年06.12,653,0,653,0,0,0
2020年06.13,653,0,653,0,0,0
2020年06.14,653,0,653,0,0,0
2020年06.15,653,0,653,0,0,0
2020年06.16,653,0,653,0,0,0
2020年06.17,653,0,653,0,0,0
2020年06.18,653,0,653,0,0,0
2020年06.19,653,0,653,0,0,0
2020年06.20,653,0,653,0,0,0
2020年06.21,653,0,653,0,0,0
2020年06.22,654,1,653,0,0,0
2020年06.23,654,0,653,0,0,0
2020年06.24,654,0,653,0,0,0
2020年06.25,654,0,653,0,0,0
2020年06.26,654,0,653,0,0,0
2020年06.27,654,0,653,0,0,0
2020年06.28,654,0,653,0,0,0
2020年06.29,654,0,653,0,0,0
2020年06.30,654,0,653,0,0,0
2020年07.01,654,0,653,0,0,0
2020年07.02,654,0,653,0,0,0
2020年07.03,654,0,653,0,0,0
2020年07.04,654,0,653,0,0,0
2020年07.05,654,0,653,0,0,0
2020年07.06,654,0,653,0,0,0
2020年07.07,654,0,654,1,0,0
2020年07.08,654,0,654,0,0,0
2020年07.09,654,0,654,0,0,0
2020年07.10,654,0,654,0,0,0
2020年07.11,654,0,654,0,0,0
2020年07.12,654,0,654,0,0,0
2020年07.13,654,0,654,0,0,0
2020年07.14,654,0,654,0,0,0
2020年07.15,654,0,654,0,0,0
2020年07.16,655,1,654,0,0,0
2020年07.17,655,0,654,0,0,0
2020年07.18,655,0,654,0,0,0
2020年07.19,655,0,654,0,0,0
2020年07.20,655,0,654,0,0,0
2020年07.21,655,0,654,0,0,0
2020年07.22,655,0,654,0,0,0
2020年07.23,655,0,654,0,0,0
2020年07.24,655,0,654,0,0,0
2020年07.25,655,0,654,0,0,0
2020年07.26,655,0,654,0,0,0
2020年07.27,655,0,654,0,0,0
2020年07.28,655,0,654,0,0,0
2020年07.29,655,0,654,0,0,0
2020年07.30,655,0,654,0,0,0
2020年07.31,655,0,654,0,0,0
2020年08.01,655,0,654,0,0,0
2020年08.02,658,3,654,0,0,0
2020年08.03,658,0,654,0,0,0
2020年08.04,658,0,654,0,0,0
2020年08.05,658,0,654,0,0,0
2020年08.06,659,1,654,0,0,0
2020年08.07,659,0,654,0,0,0
2020年08.08,659,0,654,0,0,0
2020年08.09,659,0,654,0,0,0
2020年08.10,659,0,655,1,0,0
2020年08.11,659,0,656,1,0,0
2020年08.12,659,0,655,-1,0,0
2020年08.13,659,0,655,0,0,0
2020年08.14,661,2,655,0,0,0
2020年08.15,661,0,655,0,0,0
2020年08.16,661,0,655,0,0,0
2020年08.17,664,3,655,0,0,0
2020年08.18,664,0,655,0,0,0
2020年08.19,664,0,656,1,0,0
2020年08.20,665,1,656,0,0,0
2020年08.21,665,0,656,0,0,0
2020年08.22,665,0,656,0,0,0
2020年08.23,665,0,656,0,0,0
2020年08.24,665,0,656,0,0,0
2020年08.25,665,0,656,0,0,0
2020年08.26,665,0,657,1,0,0
2020年08.27,665,0,657,0,0,0
2020年08.28,665,0,657,0,0,0
2020年08.29,665,0,657,0,0,0
2020年08.30,665,0,657,0,0,0
2020年08.31,665,0,658,1,0,0
2020年09.01,665,0,659,1,0,0
2020年09.02,665,0,659,0,0,0
2020年09.03,665,0,659,0,0,0
2020年09.04,665,0,661,2,0,0
2020年09.05,665,0,661,0,0,0
2020年09.06,665,0,661,0,0,0
2020年09.07,665,0,661,0,0,0
2020年09.08,665,0,661,0,0,0
2020年09.09,665,0,661,0,0,0
2020年09.10,665,0,663,2,0,0
2020年09.11,665,0,663,0,0,0
2020年09.12,665,0,663,0,0,0
2020年09.13,665,0,663,0,0,0
2020年09.14,665,0,663,0,0,0
2020年09.15,665,0,663,0,0,0
2020年09.16,665,0,663,0,0,0
2020年09.17,665,0,663,0,0,0
2020年09.18,665,0,663,0,0,0
2020年09.19,665,0,664,1,0,0
2020年09.20,665,0,664,0,0,0
2020年09.21,665,0,664,0,0,0
2020年09.22,665,0,664,0,0,0
2020年09.23,666,1,664,0,0,0
2020年09.24,666,0,664,0,0,0
2020年09.25,666,0,664,0,0,0
2020年09.26,666,0,664,0,0,0
2020年09.27,666,0,664,0,0,0
2020年09.28,666,0,664,0,0,0
2020年09.29,666,0,664,0,0,0
2020年09.30,666,0,664,0,0,0
2020年10.01,666,0,664,0,0,0
2020年10.02,666,0,664,0,0,0
2020年10.03,666,0,664,0,0,0
2020年10.04,667,1,664,0,0,0
2020年10.05,667,0,664,0,0,0
2020年10.06,667,0,664,0,0,0
2020年10.07,667,0,664,0,0,0
2020年10.08,667,0,664,0,0,0
2020年10.09,667,0,664,0,0,0
2020年10.10,667,0,664,0,0,0
2020年10.11,667,0,664,0,0,0
2020年10.12,667,0,664,0,0,0
2020年10.13,667,0,664,0,0,0
2020年10.14,667,0,664,0,0,0
2020年10.15,669,2,664,0,0,0
2020年10.16,669,0,665,1,0,0
2020年10.17,669,0,665,0,0,0
2020年10.18,669,0,665,0,0,0
2020年10.19,670,1,665,0,0,0
2020年10.20,670,0,665,0,0,0
2020年10.21,670,0,665,0,0,0
2020年10.22,670,0,665,0,0,0
2020年10.23,670,0,665,0,0,0
2020年10.24,670,0,665,0,0,0
2020年10.25,670,0,665,0,0,0
2020年10.26,670,0,666,1,0,0
2020年10.27,670,0,666,0,0,0
2020年10.28,672,2,666,0,0,0
2020年10.29,672,0,666,0,0,0
