日期,总确诊数,新增确诊数,总治愈数,新增治愈数,总死亡数,新增死亡数
﻿2020年01.22,3,0,0,0,0,0
2020年01.23,7,4,0,0,0,0
2020年01.24,18,11,0,0,0,0
2020年01.25,36,18,0,0,0,0
2020年01.26,48,12,0,0,0,0
2020年01.27,72,24,2,2,0,0
2020年01.28,109,37,3,1,0,0
2020年01.29,162,53,3,0,0,0
2020年01.30,240,78,7,4,0,0
2020年01.31,286,47,9,2,0,0
2020年02.01,333,47,10,1,0,0
2020年02.02,391,59,18,8,0,0
2020年02.03,476,85,19,1,0,0
2020年02.04,548,72,27,8,0,0
2020年02.05,600,52,37,10,0,0
2020年02.06,661,61,45,8,0,0
2020年02.07,698,37,55,10,0,0
2020年02.08,740,42,72,17,0,0
2020年02.09,771,32,102,30,1,1
2020年02.10,804,32,127,25,2,1
2020年02.11,844,40,152,25,1,-1
2020年02.12,872,28,170,18,1,0
2020年02.13,900,28,187,17,1,0
2020年02.14,913,13,210,23,1,0
2020年02.15,925,12,239,29,1,0
2020年02.16,930,5,275,36,1,0
2020年02.17,933,3,310,35,1,0
2020年02.18,934,1,362,52,1,0
2020年02.19,934,1,432,70,1,0
2020年02.20,934,0,489,57,1,0
2020年02.21,934,0,544,55,1,0
2020年02.22,934,0,611,67,1,0
2020年02.23,934,0,645,34,1,0
2020年02.24,934,0,682,37,1,0
2020年02.25,934,0,719,37,1,0
2020年02.26,934,0,754,35,1,0
2020年02.27,935,1,790,36,1,0
2020年02.28,935,0,811,21,1,0
2020年02.29,935,0,831,20,1,0
2020年03.01,935,0,850,19,1,0
2020年03.02,935,0,870,20,1,0
2020年03.03,935,0,884,14,1,0
2020年03.04,935,0,901,17,1,0
2020年03.05,935,0,901,0,1,0
2020年03.06,935,0,916,15,1,0
2020年03.07,935,0,918,2,1,0
2020年03.08,935,0,923,5,1,0
2020年03.09,935,0,927,4,1,0
2020年03.10,935,0,932,5,1,0
2020年03.11,935,0,934,2,1,0
2020年03.12,935,0,934,0,1,0
2020年03.13,935,0,934,0,1,0
2020年03.14,935,0,934,0,1,0
2020年03.15,935,0,934,0,1,0
2020年03.16,935,0,934,0,1,0
2020年03.17,935,0,934,0,1,0
2020年03.18,935,0,934,0,1,0
2020年03.19,935,0,934,0,1,0
2020年03.20,935,0,934,0,1,0
2020年03.21,936,1,934,0,1,0
2020年03.22,936,0,934,0,1,0
2020年03.23,936,0,934,0,1,0
2020年03.24,936,0,934,0,1,0
2020年03.25,936,0,934,0,1,0
2020年03.26,936,0,934,0,1,0
2020年03.27,936,0,934,0,1,0
2020年03.28,937,1,934,0,1,0
2020年03.29,937,0,935,1,1,0
2020年03.30,937,0,935,0,1,0
2020年03.31,937,0,935,0,1,0
2020年04.01,937,0,935,0,1,0
2020年04.02,937,0,935,0,1,0
