日期,总确诊数,新增确诊数,总治愈数,新增治愈数,总死亡数,新增死亡数
﻿2020年01.29,65,0,0,0,1,0
2020年01.30,82,17,0,0,1,0
2020年01.31,96,14,0,0,1,0
2020年02.01,104,8,3,3,1,0
2020年02.02,113,9,3,0,1,0
2020年02.03,126,13,3,0,1,0
2020年02.04,135,9,4,1,1,0
2020年02.05,157,22,7,3,1,0
2020年02.06,171,14,16,9,1,0
2020年02.07,195,24,25,9,1,0
2020年02.08,206,11,30,5,2,1
2020年02.09,218,12,35,5,2,0
2020年02.10,239,21,41,6,2,0
2020年02.11,251,12,48,7,2,0
2020年02.12,265,14,54,6,3,1
2020年02.13,283,18,69,15,3,0
2020年02.14,291,8,86,17,3,0
2020年02.15,300,9,100,14,3,0
2020年02.16,301,1,109,9,3,0
2020年02.17,302,1,123,14,4,1
2020年02.18,306,4,136,13,4,0
2020年02.19,307,1,152,16,5,1
2020年02.20,308,1,170,18,5,0
2020年02.21,309,1,184,14,6,1
2020年02.22,311,2,204,20,6,0
2020年02.23,311,0,221,17,6,0
2020年02.24,311,0,241,20,6,0
2020年02.25,312,1,248,7,6,0
2020年02.26,317,5,261,13,6,0
2020年02.27,318,1,274,13,6,0
2020年02.28,318,0,277,3,6,0
2020年02.29,318,0,283,6,6,0
2020年03.01,318,0,294,11,6,0
2020年03.02,318,0,297,3,6,0
2020年03.03,318,0,300,3,6,0
2020年03.04,318,0,301,1,6,0
2020年03.05,318,0,304,3,6,0
2020年03.06,318,0,305,1,6,0
2020年03.07,318,0,307,2,6,0
2020年03.08,318,0,307,0,6,0
2020年03.09,318,0,307,0,6,0
2020年03.10,318,0,307,0,6,0
2020年03.11,318,0,307,0,6,0
2020年03.12,318,0,310,3,6,0
2020年03.13,318,0,310,0,6,0
2020年03.14,318,0,310,0,6,0
2020年03.15,318,0,310,0,6,0
2020年03.16,318,0,310,0,6,0
2020年03.17,318,0,310,0,6,0
2020年03.18,318,0,310,0,6,0
2020年03.19,318,0,310,0,6,0
2020年03.20,318,0,310,0,6,0
2020年03.21,319,1,310,0,6,0
2020年03.22,319,0,310,0,6,0
2020年03.23,319,0,310,0,6,0
2020年03.24,319,0,310,0,6,0
2020年03.25,319,0,310,0,6,0
2020年03.26,319,0,310,0,6,0
2020年03.27,319,0,310,0,6,0
2020年03.28,319,0,310,0,6,0
2020年03.29,319,0,310,0,6,0
2020年03.30,321,2,310,0,6,0
2020年03.31,323,2,310,0,6,0
2020年04.01,325,2,310,0,6,0
2020年04.02,326,1,310,0,6,0
2020年04.03,326,0,310,0,6,0
2020年04.04,327,1,310,0,6,0
2020年04.05,327,0,310,0,6,0
2020年04.06,327,0,312,2,6,0
2020年04.07,327,0,312,0,6,0
2020年04.08,327,0,313,1,6,0
2020年04.09,327,0,313,0,6,0
2020年04.10,327,0,313,0,6,0
2020年04.11,327,0,313,0,6,0
2020年04.12,327,0,313,0,6,0
2020年04.13,327,0,314,1,6,0
2020年04.14,327,0,314,0,6,0
2020年04.15,328,1,315,1,6,0
2020年04.16,328,0,316,1,6,0
2020年04.17,328,0,316,0,6,0
2020年04.18,328,0,316,0,6,0
2020年04.19,328,0,317,1,6,0
2020年04.20,328,0,317,0,6,0
2020年04.21,328,0,317,0,6,0
2020年04.22,328,0,317,0,6,0
2020年04.23,328,0,317,0,6,0
2020年04.24,328,0,318,1,6,0
2020年04.25,328,0,318,0,6,0
2020年04.26,328,0,318,0,6,0
2020年04.27,328,0,318,0,6,0
2020年04.28,328,0,318,0,6,0
2020年04.29,328,0,318,0,6,0
2020年04.30,328,0,318,0,6,0
2020年05.01,328,0,318,0,6,0
2020年05.02,328,0,318,0,6,0
2020年05.03,328,0,318,0,6,0
2020年05.04,328,0,320,2,6,0
2020年05.05,328,0,320,0,6,0
2020年05.06,328,0,320,0,6,0
2020年05.07,328,0,320,0,6,0
2020年05.08,328,0,320,0,6,0
2020年05.09,328,0,321,1,6,0
2020年05.10,328,0,321,0,6,0
2020年05.11,328,0,321,0,6,0
2020年05.12,328,0,321,0,6,0
2020年05.13,328,0,321,0,6,0
2020年05.14,328,0,321,0,6,0
2020年05.15,328,0,321,0,6,0
2020年05.16,328,0,321,0,6,0
2020年05.17,328,0,322,1,6,0
2020年05.18,328,0,322,0,6,0
2020年05.19,328,0,322,0,6,0
2020年05.20,328,0,322,0,6,0
2020年05.21,328,0,322,0,6,0
2020年05.22,328,0,322,0,6,0
2020年05.23,328,0,322,0,6,0
2020年05.24,328,0,322,0,6,0
2020年05.25,328,0,322,0,6,0
2020年05.26,328,0,322,0,6,0
2020年05.27,328,0,322,0,6,0
2020年05.28,328,0,322,0,6,0
2020年05.29,328,0,322,0,6,0
2020年05.30,328,0,322,0,6,0
2020年05.31,328,0,322,0,6,0
2020年06.01,328,0,322,0,6,0
2020年06.02,328,0,322,0,6,0
2020年06.03,328,0,322,0,6,0
2020年06.04,328,0,322,0,6,0
2020年06.05,328,0,322,0,6,0
2020年06.06,328,0,322,0,6,0
2020年06.07,328,0,322,0,6,0
2020年06.08,328,0,322,0,6,0
2020年06.09,328,0,322,0,6,0
2020年06.10,328,0,322,0,6,0
2020年06.11,328,0,322,0,6,0
2020年06.12,328,0,322,0,6,0
2020年06.13,328,0,322,0,6,0
2020年06.14,331,3,322,0,6,0
2020年06.15,335,4,322,0,6,0
2020年06.16,335,1,322,0,6,0
2020年06.17,338,2,322,0,6,0
2020年06.18,340,2,322,0,6,0
2020年06.19,341,1,322,0,6,0
2020年06.20,344,3,322,0,6,0
2020年06.21,346,2,322,0,6,0
2020年06.22,346,0,323,1,6,0
2020年06.23,348,2,323,0,6,0
2020年06.24,349,1,323,0,6,0
2020年06.25,349,0,324,1,6,0
2020年06.26,349,0,326,2,6,0
2020年06.27,349,0,331,5,6,0
2020年06.28,349,0,333,2,6,0
2020年06.29,349,0,334,1,6,0
2020年06.30,349,0,334,0,6,0
2020年07.01,349,0,334,0,6,0
2020年07.02,349,0,334,0,6,0
2020年07.03,349,0,336,2,6,0
2020年07.04,349,0,337,1,6,0
2020年07.05,349,0,337,0,6,0
2020年07.06,349,0,337,0,6,0
2020年07.07,349,0,337,0,6,0
2020年07.08,349,0,339,2,6,0
2020年07.09,349,0,339,0,6,0
2020年07.10,349,0,339,0,6,0
2020年07.11,349,0,339,0,6,0
2020年07.12,349,0,339,0,6,0
2020年07.13,349,0,340,1,6,0
2020年07.14,349,0,340,0,6,0
2020年07.15,349,0,340,0,6,0
2020年07.16,349,0,340,0,6,0
2020年07.17,349,0,340,0,6,0
2020年07.18,349,0,341,1,6,0
2020年07.19,349,0,341,0,6,0
2020年07.20,349,0,341,0,6,0
2020年07.21,349,0,342,1,6,0
2020年07.22,349,0,342,0,6,0
2020年07.23,349,0,342,0,6,0
2020年07.24,349,0,342,0,6,0
2020年07.25,349,0,342,0,6,0
2020年07.26,349,0,343,1,6,0
2020年07.27,349,0,343,0,6,0
2020年07.28,349,0,343,0,6,0
2020年07.29,349,0,343,0,6,0
2020年07.30,349,0,343,0,6,0
2020年07.31,349,0,343,0,6,0
2020年08.01,349,0,343,0,6,0
2020年08.02,349,0,343,0,6,0
2020年08.03,349,0,343,0,6,0
2020年08.04,349,0,343,0,6,0
2020年08.05,349,0,343,0,6,0
2020年08.06,349,0,343,0,6,0
2020年08.07,349,0,343,0,6,0
2020年08.08,349,0,343,0,6,0
2020年08.09,349,0,343,0,6,0
2020年08.10,350,1,343,0,6,0
2020年08.11,350,0,343,0,6,0
2020年08.12,351,1,343,0,6,0
2020年08.13,351,0,343,0,6,0
2020年08.14,351,0,343,0,6,0
2020年08.15,351,0,343,0,6,0
2020年08.16,351,0,343,0,6,0
2020年08.17,351,0,343,0,6,0
2020年08.18,351,0,343,0,6,0
2020年08.19,351,0,343,0,6,0
2020年08.20,351,0,343,0,6,0
2020年08.21,354,3,343,0,6,0
2020年08.22,359,5,343,0,6,0
2020年08.23,359,0,343,0,6,0
2020年08.24,360,1,343,0,6,0
2020年08.25,360,0,343,0,6,0
2020年08.26,362,2,343,0,6,0
2020年08.27,362,0,343,0,6,0
2020年08.28,362,0,343,0,6,0
2020年08.29,362,0,343,0,6,0
2020年08.30,362,0,343,0,6,0
2020年08.31,365,3,346,3,6,0
2020年09.01,365,0,346,0,6,0
2020年09.02,365,0,347,1,6,0
2020年09.03,365,0,347,0,6,0
2020年09.04,365,0,354,7,6,0
2020年09.05,365,0,354,0,6,0
2020年09.06,365,0,354,0,6,0
2020年09.07,365,0,355,1,6,0
2020年09.08,365,0,355,0,6,0
2020年09.09,365,0,355,0,6,0
2020年09.10,365,0,355,0,6,0
2020年09.11,365,0,355,0,6,0
2020年09.12,365,0,355,0,6,0
2020年09.13,365,0,356,1,6,0
2020年09.14,365,0,356,0,6,0
2020年09.15,365,0,356,0,6,0
2020年09.16,365,0,356,0,6,0
2020年09.17,365,0,356,0,6,0
2020年09.18,365,0,356,0,6,0
2020年09.19,365,0,356,0,6,0
2020年09.20,365,0,356,0,6,0
2020年09.21,365,0,357,1,6,0
2020年09.22,365,0,357,0,6,0
2020年09.23,365,0,357,0,6,0
2020年09.24,365,0,357,0,6,0
