日期,总确诊数,新增确诊数,总治愈数,新增治愈数,总死亡数,新增死亡数
﻿2020年01.24,62,0,0,0,0,0
2020年01.25,104,42,0,0,0,0
2020年01.26,128,24,0,0,0,0
2020年01.27,173,45,1,1,0,0
2020年01.28,296,123,3,2,0,0
2020年01.29,428,132,4,1,0,0
2020年01.30,537,109,9,5,0,0
2020年01.31,599,62,15,6,0,0
2020年02.01,661,62,23,8,0,0
2020年02.02,724,63,36,13,0,0
2020年02.03,829,105,48,12,0,0
2020年02.04,895,66,63,15,0,0
2020年02.05,954,59,81,18,0,0
2020年02.06,1006,52,98,17,0,0
2020年02.07,1048,42,127,29,0,0
2020年02.08,1075,27,173,46,0,0
2020年02.09,1092,29,201,28,0,0
2020年02.10,1092,29,239,38,0,0
2020年02.11,1131,14,279,40,0,0
2020年02.12,1145,14,327,48,0,0
2020年02.13,1155,10,367,40,0,0
2020年02.14,1162,7,409,42,0,0
2020年02.15,1167,5,437,28,0,0
2020年02.16,1171,4,470,33,0,0
2020年02.17,1172,1,514,44,0,0
2020年02.18,1173,1,544,30,0,0
2020年02.19,1175,2,609,65,0,0
2020年02.20,1203,28,647,38,1,1
2020年02.21,1205,22,694,47,1,0
2020年02.22,1205,0,729,35,1,0
2020年02.23,1205,0,765,36,1,0
2020年02.24,1205,0,794,29,1,0
2020年02.25,1205,0,814,20,1,0
2020年02.26,1205,0,881,67,1,0
2020年02.27,1205,0,943,62,1,0
2020年02.28,1205,0,987,44,1,0
2020年02.29,1205,0,1027,40,1,0
2020年03.01,1206,0,1050,23,1,0
2020年03.02,1213,7,1086,36,1,0
2020年03.03,1213,0,1107,21,1,0
2020年03.04,1215,2,1130,23,1,0
2020年03.05,1215,2,1130,0,1,0
2020年03.06,1215,0,1161,31,1,0
2020年03.07,1215,0,1169,8,1,0
2020年03.08,1215,0,1182,13,1,0
2020年03.09,1215,0,1190,8,1,0
2020年03.10,1215,0,1205,15,1,0
2020年03.11,1215,0,1209,4,1,0
2020年03.12,1215,0,1209,0,1,0
2020年03.13,1227,0,1211,2,1,0
2020年03.14,1231,4,1211,0,1,0
2020年03.15,1231,0,1213,2,1,0
2020年03.16,1231,1,1213,0,1,0
2020年03.17,1232,0,1216,3,1,0
2020年03.18,1233,1,1217,1,1,0
2020年03.19,1233,1,1217,0,1,0
2020年03.20,1236,2,1219,2,1,0
2020年03.21,1236,2,1219,0,1,0
2020年03.22,1238,1,1221,2,1,0
2020年03.23,1240,2,1221,0,1,0
2020年03.24,1241,1,1221,0,1,0
2020年03.25,1243,2,1222,1,1,0
2020年03.26,1247,4,1222,0,1,0
2020年03.27,1251,4,1225,3,1,0
2020年03.28,1254,3,1225,0,1,0
2020年03.29,1255,1,1225,0,1,0
2020年03.30,1257,2,1226,1,1,0
2020年03.31,1257,0,1226,0,1,0
2020年04.01,1258,1,1228,2,1,0
2020年04.02,1260,2,1228,0,1,0
2020年04.03,1262,2,1229,1,1,0
2020年04.04,1263,1,1230,1,1,0
2020年04.05,1264,1,1230,0,1,0
2020年04.06,1265,1,1230,0,1,0
2020年04.07,1266,1,1232,2,1,0
2020年04.08,1267,1,1235,3,1,0
2020年04.09,1267,0,1235,0,1,0
2020年04.10,1267,0,1236,1,1,0
2020年04.11,1267,0,1238,2,1,0
2020年04.12,1267,0,1239,1,1,0
2020年04.13,1267,0,1242,3,1,0
2020年04.14,1268,1,1244,2,1,0
2020年04.15,1268,0,1244,0,1,0
2020年04.16,1268,0,1246,2,1,0
2020年04.17,1268,0,1246,0,1,0
2020年04.18,1268,0,1247,1,1,0
