日期,总确诊数,新增确诊数,总治愈数,新增治愈数,总死亡数,新增死亡数
﻿2020年01.24,11,0,0,0,0,0
2020年01.25,20,9,0,0,0,0
2020年01.26,27,7,0,0,0,0
2020年01.27,38,11,1,1,0,0
2020年01.28,43,5,1,0,1,1
2020年01.29,46,3,1,0,1,0
2020年01.30,49,3,1,0,1,0
2020年01.31,57,8,1,0,1,0
2020年02.01,62,5,1,0,1,0
2020年02.02,69,7,4,3,1,0
2020年02.03,79,9,4,0,1,0
2020年02.04,89,10,4,0,1,0
2020年02.05,100,11,5,1,1,0
2020年02.06,106,7,8,3,1,0
2020年02.07,117,11,10,2,2,1
2020年02.08,129,12,15,5,2,0
2020年02.09,131,8,19,4,3,1
2020年02.10,142,6,19,0,3,0
2020年02.11,151,9,20,1,3,0
2020年02.12,157,6,27,7,4,1
2020年02.13,157,0,30,3,4,0
2020年02.14,162,4,38,8,4,0
2020年02.15,162,0,39,1,4,0
2020年02.16,162,0,52,13,4,0
2020年02.17,163,1,59,7,4,0
2020年02.18,163,0,79,20,4,0
2020年02.19,168,5,84,5,4,0
2020年02.20,168,0,89,5,4,0
2020年02.21,168,0,96,7,4,0
2020年02.22,168,0,104,8,4,0
2020年02.23,168,0,106,2,5,1
2020年02.24,168,0,116,10,5,0
2020年02.25,168,0,124,8,5,0
2020年02.26,168,0,129,5,5,0
2020年02.27,168,0,132,3,5,0
2020年02.28,168,0,136,4,5,0
2020年02.29,168,0,148,12,5,0
2020年03.01,168,0,151,3,5,0
2020年03.02,168,0,151,0,5,0
2020年03.03,168,0,155,4,5,0
2020年03.04,168,0,158,3,5,0
2020年03.05,168,0,158,0,6,1
2020年03.06,168,0,158,0,6,0
2020年03.07,168,0,158,0,6,0
2020年03.08,168,0,159,1,6,0
2020年03.09,168,0,159,0,6,0
2020年03.10,168,0,159,0,6,0
2020年03.11,168,0,160,1,6,0
2020年03.12,168,0,160,0,6,0
2020年03.13,168,0,160,0,6,0
2020年03.14,168,0,160,0,6,0
2020年03.15,168,0,160,0,6,0
2020年03.16,168,0,161,1,6,0
2020年03.17,168,0,161,0,6,0
2020年03.18,168,0,161,0,6,0
2020年03.19,168,0,161,0,6,0
2020年03.20,168,0,161,0,6,0
2020年03.21,168,0,161,0,6,0
2020年03.22,168,0,161,0,6,0
2020年03.23,168,0,161,0,6,0
2020年03.24,168,0,162,1,6,0
2020年03.25,168,0,162,0,6,0
2020年03.26,168,0,162,0,6,0
2020年03.27,168,0,162,0,6,0
2020年03.28,168,0,162,0,6,0
2020年03.29,168,0,162,0,6,0
2020年03.30,168,0,162,0,6,0
2020年03.31,168,0,162,0,6,0
2020年04.01,168,0,162,0,6,0
2020年04.02,168,0,162,0,6,0
2020年04.03,168,0,162,0,6,0
2020年04.04,168,0,162,0,6,0
2020年04.05,168,0,162,0,6,0
2020年04.06,168,0,162,0,6,0
2020年04.07,168,0,162,0,6,0
2020年04.08,168,0,162,0,6,0
2020年04.09,168,0,162,0,6,0
2020年04.10,168,0,162,0,6,0
2020年04.11,168,0,162,0,6,0
2020年04.12,168,0,162,0,6,0
2020年04.13,168,0,162,0,6,0
2020年04.14,168,0,162,0,6,0
2020年04.15,168,0,162,0,6,0
2020年04.16,168,0,162,0,6,0
2020年04.17,168,0,162,0,6,0
2020年04.18,168,0,162,0,6,0
2020年04.19,168,0,162,0,6,0
2020年04.20,168,0,162,0,6,0
2020年04.21,168,0,162,0,6,0
2020年04.22,168,0,162,0,6,0
2020年04.23,168,0,162,0,6,0
2020年04.24,168,0,162,0,6,0
2020年04.25,168,0,162,0,6,0
2020年04.26,168,0,162,0,6,0
2020年04.27,168,0,162,0,6,0
2020年04.28,168,0,162,0,6,0
2020年04.29,168,0,162,0,6,0
2020年04.30,168,0,162,0,6,0
2020年05.01,168,0,162,0,6,0
2020年05.02,168,0,162,0,6,0
2020年05.03,168,0,162,0,6,0
2020年05.04,168,0,162,0,6,0
2020年05.05,168,0,162,0,6,0
2020年05.06,168,0,162,0,6,0
2020年05.07,168,0,162,0,6,0
2020年05.08,168,0,162,0,6,0
2020年05.09,168,0,162,0,6,0
2020年05.10,168,0,162,0,6,0
2020年05.11,168,0,162,0,6,0
2020年05.12,168,0,162,0,6,0
2020年05.13,168,0,162,0,6,0
2020年05.14,168,0,162,0,6,0
2020年05.15,169,1,162,0,6,0
2020年05.16,169,0,162,0,6,0
2020年05.17,169,0,162,0,6,0
2020年05.18,169,0,162,0,6,0
2020年05.19,169,0,162,0,6,0
2020年05.20,169,0,162,0,6,0
2020年05.21,169,0,162,0,6,0
2020年05.22,169,0,162,0,6,0
2020年05.23,169,0,162,0,6,0
2020年05.24,169,0,162,0,6,0
2020年05.25,169,0,162,0,6,0
2020年05.26,169,0,162,0,6,0
2020年05.27,169,0,162,0,6,0
2020年05.28,169,0,162,0,6,0
2020年05.29,169,0,162,0,6,0
2020年05.30,169,0,162,0,6,0
2020年05.31,169,0,162,0,6,0
2020年06.01,169,0,162,0,6,0
