日期,总确诊数,新增确诊数,总治愈数,新增治愈数,总死亡数,新增死亡数
﻿2020年01.20,270,0,25,0,6,0
2020年01.21,375,105,28,3,9,3
2020年01.22,444,69,28,0,17,8
2020年01.23,549,105,31,3,24,7
2020年01.24,729,180,32,1,39,15
2020年01.25,1052,323,42,10,52,13
2020年01.26,1423,371,44,2,76,24
2020年01.27,2714,1291,47,3,100,24
2020年01.28,3554,840,80,33,125,25
2020年01.29,4586,1032,90,10,162,37
2020年01.30,5806,1220,116,26,204,42
2020年01.31,7153,1347,166,50,249,45
2020年02.01,9074,1921,215,49,294,45
2020年02.02,11177,2103,295,80,350,56
2020年02.03,13522,2345,396,101,414,64
2020年02.04,16678,3156,520,124,479,65
2020年02.05,19655,2987,633,113,549,70
2020年02.06,22112,2447,817,184,618,69
2020年02.07,24953,2841,1115,298,699,81
2020年02.08,27100,2147,1439,324,780,81
2020年02.09,29631,2618,1795,356,871,91
2020年02.10,31728,2097,2222,427,974,103
2020年02.11,33366,1638,2639,417,1068,94
2020年02.12,48206,14840,3441,802,1310,242
2020年02.13,51986,4823,4131,690,1318,8
2020年02.14,54406,2420,4774,643,1457,139
2020年02.15,56249,1843,5623,849,1596,139
2020年02.16,58182,1933,6639,1016,1696,100
2020年02.17,59989,1807,7862,1223,1789,93
2020年02.18,61682,1693,9128,1266,1921,132
2020年02.19,62457,775,10337,1209,2029,108
2020年02.20,63088,631,11788,1451,2144,115
2020年02.21,63454,366,13557,1769,2250,106
2020年02.22,64084,630,15299,1742,2346,96
2020年02.23,64287,398,16738,1439,2495,149
2020年02.24,64786,499,18854,2116,2563,68
2020年02.25,65187,401,20912,2058,2615,52
2020年02.26,65596,409,23200,2288,2641,26
2020年02.27,65914,318,26403,3203,2682,41
2020年02.28,66337,423,28895,2492,2727,45
2020年02.29,66907,570,31187,2292,2761,34
2020年03.01,67103,196,33757,2570,2803,42
2020年03.02,67217,114,36167,2410,2834,31
2020年03.03,67332,115,38556,2389,2871,37
2020年03.04,67466,134,40479,1923,2902,31
2020年03.05,67592,126,41966,1487,2931,29
2020年03.06,67666,74,43468,1502,2959,28
2020年03.07,67707,41,45011,1543,2986,27
2020年03.08,67743,36,46433,1422,3007,21
2020年03.09,67760,17,47585,1152,3024,17
2020年03.10,67773,13,49056,1471,3046,22
2020年03.11,67781,8,50298,1242,3056,10
2020年03.12,67786,5,51553,1255,3062,6
2020年03.13,67790,4,52943,1390,3075,13
2020年03.14,67794,4,54278,1335,3085,10
2020年03.15,67798,4,55094,816,3099,14
2020年03.16,67798,4,55987,893,3111,12
2020年03.17,67800,1,56883,896,3122,11
2020年03.18,67800,0,57678,795,3130,8
2020年03.19,67800,0,58381,703,3132,2
2020年03.20,67800,0,58942,561,3139,7
2020年03.21,67800,0,59432,490,3144,5
2020年03.22,67800,0,59879,447,3153,9
2020年03.23,67801,1,60323,444,3160,7
2020年03.24,67801,0,60810,487,3163,3
2020年03.25,67801,0,61201,391,3169,6
2020年03.26,67801,0,61731,530,3174,5
2020年03.27,67801,0,62098,367,3177,3
2020年03.28,67801,0,62565,467,3177,0
2020年03.29,67801,0,62882,317,3186,9
2020年03.30,67801,0,63153,271,3187,1
2020年03.31,67802,1,63326,173,3193,6
2020年04.01,67802,0,63471,145,3199,6
2020年04.02,67802,0,63612,141,3203,4
2020年04.03,67803,1,63762,150,3207,4
2020年04.04,67803,0,63945,183,3210,3
2020年04.05,67803,0,64014,69,3212,2
2020年04.06,67803,0,64073,59,3212,0
2020年04.07,67803,0,64142,69,3213,1
