日期,总确诊数,新增确诊数,总治愈数,新增治愈数,总死亡数,新增死亡数
﻿2020年01.23,24,0,0,0,0,0
2020年01.24,43,19,0,0,0,0
2020年01.25,69,26,0,0,0,0
2020年01.26,100,31,0,0,0,0
2020年01.27,143,43,0,0,0,0
2020年01.28,221,78,0,0,0,0
2020年01.29,277,56,0,0,0,0
2020年01.30,332,55,2,2,0,0
2020年01.31,389,57,3,1,0,0
2020年02.01,463,74,8,5,0,0
2020年02.02,521,58,16,8,0,0
2020年02.03,593,72,22,6,0,0
2020年02.04,661,68,35,13,0,0
2020年02.05,711,50,56,21,0,0
2020年02.06,772,61,91,35,0,0
2020年02.07,803,31,119,28,0,0
2020年02.08,838,35,159,40,1,1
2020年02.09,879,41,186,27,1,0
2020年02.10,912,33,213,27,1,0
2020年02.11,946,34,263,50,2,1
2020年02.12,968,22,312,49,2,0
2020年02.13,988,20,352,40,2,0
2020年02.14,1001,13,389,37,2,0
2020年02.15,1004,3,430,41,3,1
2020年02.16,1006,2,467,37,3,0
2020年02.17,1007,1,501,34,4,1
2020年02.18,1008,1,542,41,4,0
2020年02.19,1010,2,578,36,4,0
2020年02.20,1011,1,638,60,4,0
2020年02.21,1013,2,670,32,4,0
2020年02.22,1016,3,704,34,4,0
2020年02.23,1016,0,721,17,4,0
2020年02.24,1016,0,751,30,4,0
2020年02.25,1016,0,779,28,4,0
2020年02.26,1017,1,793,14,4,0
2020年02.27,1017,0,820,27,4,0
2020年02.28,1018,1,841,21,4,0
2020年02.29,1018,0,853,12,4,0
2020年03.01,1018,0,876,23,4,0
2020年03.02,1018,0,892,16,4,0
2020年03.03,1018,0,913,21,4,0
2020年03.04,1018,0,933,20,4,0
2020年03.05,1018,0,933,0,4,0
2020年03.06,1018,0,959,26,4,0
2020年03.07,1018,0,965,6,4,0
2020年03.08,1018,0,979,14,4,0
2020年03.09,1018,0,988,9,4,0
2020年03.10,1018,0,995,7,4,0
2020年03.11,1018,0,998,3,4,0
2020年03.12,1018,0,1004,6,4,0
2020年03.13,1018,0,1009,5,4,0
2020年03.14,1018,0,1014,5,4,0
2020年03.15,1018,0,1014,0,4,0
2020年03.16,1018,0,1014,0,4,0
2020年03.17,1018,0,1014,0,4,0
2020年03.18,1018,0,1014,0,4,0
2020年03.19,1018,0,1014,0,4,0
2020年03.20,1018,0,1014,0,4,0
2020年03.21,1018,0,1014,0,4,0
2020年03.22,1018,0,1014,0,4,0
2020年03.23,1018,0,1014,0,4,0
2020年03.24,1018,0,1014,0,4,0
2020年03.25,1018,0,1014,0,4,0
2020年03.26,1018,0,1014,0,4,0
2020年03.27,1018,0,1014,0,4,0
2020年03.28,1018,0,1014,0,4,0
2020年03.29,1018,0,1014,0,4,0
2020年03.30,1018,0,1014,0,4,0
2020年03.31,1018,0,1014,0,4,0
2020年04.01,1019,1,1014,0,4,0
2020年04.02,1019,0,1014,0,4,0
2020年04.03,1019,0,1014,0,4,0
2020年04.04,1019,0,1014,0,4,0
2020年04.05,1019,0,1014,0,4,0
2020年04.06,1019,0,1014,0,4,0
2020年04.07,1019,0,1014,0,4,0
2020年04.08,1019,0,1014,0,4,0
2020年04.09,1019,0,1014,0,4,0
2020年04.10,1019,0,1014,0,4,0
2020年04.11,1019,0,1014,0,4,0
2020年04.12,1019,0,1014,0,4,0
2020年04.13,1019,0,1014,0,4,0
2020年04.14,1019,0,1014,0,4,0
2020年04.15,1019,0,1014,0,4,0
2020年04.16,1019,0,1014,0,4,0
