日期,总确诊数,新增确诊数,总治愈数,新增治愈数,总死亡数,新增死亡数
﻿2020年01.25,7,0,0,0,0,0
2020年01.26,14,7,0,0,0,0
2020年01.27,19,5,0,0,0,0
2020年01.28,24,5,0,0,0,0
2020年01.29,26,2,0,0,0,0
2020年01.30,29,4,0,0,0,0
2020年01.31,35,6,3,3,0,0
2020年02.01,51,11,3,0,0,0
2020年02.03,55,4,3,0,0,0
2020年02.04,57,2,4,1,0,0
2020年02.05,62,5,6,2,0,0
2020年02.06,67,5,6,0,0,0
2020年02.07,71,4,9,3,0,0
2020年02.08,79,12,12,3,1,1
2020年02.09,83,4,17,5,2,1
2020年02.10,86,3,21,4,2,0
2020年02.11,86,0,24,3,2,0
2020年02.12,87,1,31,7,2,0
2020年02.13,90,3,39,8,2,0
2020年02.14,90,0,49,10,2,0
2020年02.16,90,0,54,5,2,0
2020年02.17,91,1,58,4,2,0
2020年02.18,91,0,65,7,2,0
2020年02.19,91,0,71,6,2,0
2020年02.20,91,0,76,5,2,0
2020年02.21,91,0,78,2,2,0
2020年02.23,91,0,78,0,2,0
2020年02.24,91,0,80,2,2,0
2020年02.25,91,0,80,0,2,0
2020年02.26,91,0,81,1,2,0
2020年02.27,91,0,82,1,2,0
2020年02.28,91,0,82,0,2,0
2020年02.29,91,0,84,2,2,0
2020年03.01,91,0,84,0,2,0
2020年03.02,91,0,86,2,2,0
2020年03.03,91,0,87,1,2,0
2020年03.04,102,11,87,0,2,0
2020年03.05,119,17,87,0,2,0
2020年03.06,120,1,87,0,2,0
2020年03.07,124,4,87,0,2,0
2020年03.08,124,4,88,1,2,0
2020年03.09,125,1,88,0,2,0
2020年03.09,125,1,88,0,2,0
2020年03.10,127,2,88,0,2,0
2020年03.11,127,2,88,0,2,0
2020年03.13,129,2,89,1,2,0
2020年03.14,132,3,91,2,2,0
2020年03.15,133,1,91,0,2,0
2020年03.16,133,0,91,0,2,0
2020年03.17,133,0,91,0,2,0
2020年03.18,133,0,91,0,2,0
2020年03.19,134,1,98,7,2,0
2020年03.20,134,1,113,15,2,0
2020年03.22,136,2,114,1,2,0
2020年03.23,136,0,119,5,2,0
2020年03.24,136,0,121,2,2,0
2020年03.25,136,0,121,0,2,0
2020年03.26,136,0,125,4,2,0
2020年03.27,136,0,125,0,2,0
2020年03.28,136,0,125,0,2,0
2020年03.29,138,2,125,0,2,0
2020年03.30,138,0,125,0,2,0
2020年03.31,138,0,125,0,2,0
2020年04.01,138,0,127,2,2,0
2020年04.02,138,0,127,0,2,0
2020年04.03,138,0,131,4,2,0
2020年04.04,138,0,131,0,2,0
2020年04.05,139,1,132,1,2,0
2020年04.06,139,0,132,0,2,0
2020年04.07,139,0,133,1,2,0
2020年04.08,139,0,135,2,2,0
2020年04.09,139,0,135,0,2,0
2020年04.10,139,0,135,0,2,0
2020年04.13,139,0,135,0,2,0
2020年04.14,139,0,136,1,2,0
2020年04.15,139,0,137,1,2,0
2020年04.16,139,0,137,0,2,0
2020年04.17,139,0,137,0,2,0
2020年04.18,139,0,137,0,2,0
2020年04.19,139,0,137,0,2,0
2020年04.20,139,0,137,0,2,0
2020年04.21,139,0,137,0,2,0
2020年04.22,139,0,137,0,2,0
2020年04.23,139,0,137,0,2,0
2020年04.24,139,0,137,0,2,0
2020年04.25,139,0,137,0,2,0
2020年04.26,139,0,137,0,2,0
2020年04.27,139,0,137,0,2,0
2020年04.28,139,0,137,0,2,0
2020年04.29,139,0,137,0,2,0
2020年04.30,139,0,137,0,2,0
2020年05.01,139,0,137,0,2,0
2020年05.02,139,0,137,0,2,0
2020年05.03,139,0,137,0,2,0
2020年05.04,139,0,137,0,2,0
2020年05.05,139,0,137,0,2,0
2020年05.06,139,0,137,0,2,0
2020年05.07,139,0,137,0,2,0
2020年05.08,139,0,137,0,2,0
2020年05.09,139,0,137,0,2,0
2020年05.10,139,0,137,0,2,0
2020年05.11,139,0,137,0,2,0
2020年05.12,139,0,137,0,2,0
2020年05.13,139,0,137,0,2,0
2020年05.14,139,0,137,0,2,0
2020年05.15,139,0,137,0,2,0
2020年05.16,139,0,137,0,2,0
2020年05.17,139,0,137,0,2,0
2020年05.18,139,0,137,0,2,0
2020年05.19,139,0,137,0,2,0
2020年05.20,139,0,137,0,2,0
2020年05.21,139,0,137,0,2,0
2020年05.22,139,0,137,0,2,0
2020年05.23,139,0,137,0,2,0
2020年05.24,139,0,137,0,2,0
2020年05.25,139,0,137,0,2,0
2020年05.26,139,0,137,0,2,0
2020年05.27,139,0,137,0,2,0
2020年05.28,139,0,137,0,2,0
2020年05.29,139,0,137,0,2,0
2020年05.30,139,0,137,0,2,0
2020年05.31,139,0,137,0,2,0
2020年06.01,139,0,137,0,2,0
2020年06.02,139,0,137,0,2,0
2020年06.03,139,0,137,0,2,0
2020年06.04,139,0,137,0,2,0
2020年06.05,139,0,137,0,2,0
2020年06.06,139,0,137,0,2,0
2020年06.07,139,0,137,0,2,0
2020年06.08,139,0,137,0,2,0
2020年06.09,139,0,137,0,2,0
2020年06.10,139,0,137,0,2,0
2020年06.11,139,0,137,0,2,0
2020年06.12,139,0,137,0,2,0
2020年06.13,139,0,137,0,2,0
