日期,总确诊数,新增确诊数,总治愈数,新增治愈数,总死亡数,新增死亡数
﻿2020年01.28,82,0,0,0,0,0
2020年01.29,101,19,0,0,0,0
2020年01.30,120,19,0,0,0,0
2020年01.31,144,24,0,0,0,0
2020年02.01,159,15,0,0,0,0
2020年02.02,179,20,0,0,0,0
2020年02.03,194,15,1,1,0,0
2020年02.05,215,10,12,11,0,0
2020年02.06,224,9,15,3,0,0
2020年02.07,239,15,20,5,0,0
2020年02.08,250,11,24,4,0,0
2020年02.09,261,11,35,11,0,0
2020年02.10,267,6,39,4,0,0
2020年02.11,272,5,46,7,0,0
2020年02.12,279,7,54,8,0,0
2020年02.13,281,2,59,5,0,0
2020年02.14,285,4,66,7,0,0
2020年02.15,287,2,77,11,0,0
2020年02.16,290,3,84,7,0,0
2020年02.17,292,2,91,7,0,0
2020年02.18,293,1,96,5,0,0
2020年02.19,293,0,112,16,1,1
2020年02.20,293,0,134,22,1,0
2020年02.21,293,0,150,16,1,0
2020年02.22,293,0,165,15,1,0
2020年02.23,293,0,174,9,1,0
2020年02.24,294,1,188,14,1,0
2020年02.25,294,0,205,17,1,0
2020年02.26,296,2,225,20,1,0
2020年02.27,296,0,232,7,1,0
2020年02.28,296,0,241,9,1,0
2020年02.29,296,0,243,2,1,0
2020年03.01,296,0,247,4,1,0
2020年03.02,296,0,255,8,1,0
2020年03.03,296,0,261,6,1,0
2020年03.04,296,0,270,9,1,0
2020年03.05,296,0,278,8,1,0
2020年03.06,296,0,284,6,1,0
2020年03.07,296,0,295,11,1,0
2020年03.08,296,0,295,0,1,0
2020年03.09,296,0,295,0,1,0
2020年03.10,296,0,295,0,1,0
2020年03.11,296,0,295,0,1,0
2020年03.12,296,0,295,0,1,0
2020年03.13,296,0,295,0,1,0
2020年03.14,296,0,295,0,1,0
2020年03.15,296,0,295,0,1,0
2020年03.16,296,0,295,0,1,0
2020年03.17,296,0,295,0,1,0
2020年03.18,296,0,295,0,1,0
2020年03.19,296,0,295,0,1,0
2020年03.20,299,3,295,0,1,0
2020年03.21,303,4,295,0,1,0
2020年03.22,313,6,295,0,1,0
2020年03.23,318,5,295,0,1,0
2020年03.24,322,4,295,0,1,0
2020年03.25,328,6,295,0,1,0
2020年03.26,331,3,295,0,1,0
2020年03.27,337,6,295,0,1,0
2020年03.28,338,1,295,0,1,0
2020年03.29,340,2,295,0,1,0
2020年03.30,343,3,295,0,1,0
2020年03.31,345,2,297,2,1,0
2020年04.01,345,0,299,2,1,0
2020年04.02,349,4,300,1,1,0
2020年04.03,350,1,301,1,1,0
2020年04.04,350,0,303,2,1,0
2020年04.05,350,0,305,2,1,0
2020年04.06,351,1,305,0,1,0
2020年04.07,351,0,307,2,1,0
2020年04.08,351,0,308,1,1,0
2020年04.09,351,0,311,3,1,0
2020年04.10,351,0,317,6,1,0
2020年04.11,352,1,321,4,1,0
2020年04.12,352,1,325,4,1,0
2020年04.13,353,1,329,4,1,0
2020年04.14,353,0,331,2,1,0
2020年04.15,353,0,333,2,1,0
2020年04.16,354,1,334,1,1,0
2020年04.17,355,1,336,2,1,0
2020年04.18,355,0,339,3,1,0
2020年04.19,355,0,339,0,1,0
2020年04.20,355,0,341,2,1,0
2020年04.21,355,0,342,1,1,0
2020年04.22,355,0,342,0,1,0
2020年04.23,355,0,346,4,1,0
2020年04.24,355,0,349,3,1,0
2020年04.25,355,0,349,0,1,0
2020年04.26,355,0,349,0,1,0
2020年04.27,355,0,349,0,1,0
2020年04.28,355,0,352,3,1,0
2020年04.29,355,0,353,1,1,0
2020年04.30,356,1,353,0,1,0
2020年05.01,356,0,353,0,1,0
2020年05.02,356,0,353,0,1,0
2020年05.03,356,0,353,0,1,0
2020年05.04,356,0,353,0,1,0
2020年05.05,356,0,353,0,1,0
2020年05.06,356,0,354,1,1,0
2020年05.07,356,0,354,0,1,0
2020年05.08,356,0,354,0,1,0
2020年05.09,356,0,354,0,1,0
2020年05.10,356,0,354,0,1,0
2020年05.11,356,0,354,0,1,0
2020年05.12,356,0,354,0,1,0
2020年05.13,356,0,354,0,1,0
2020年05.14,356,0,355,1,1,0
2020年05.15,356,0,355,0,1,0
2020年05.16,356,0,355,0,1,0
2020年05.17,356,0,355,0,1,0
2020年05.18,356,0,355,0,1,0
2020年05.19,356,0,355,0,1,0
2020年05.20,356,0,355,0,1,0
2020年05.21,356,0,355,0,1,0
2020年05.22,356,0,355,0,1,0
2020年05.23,356,0,355,0,1,0
2020年05.24,356,0,355,0,1,0
2020年05.25,357,1,355,0,1,0
2020年05.26,357,0,355,0,1,0
2020年05.27,358,1,355,0,1,0
2020年05.28,358,0,355,0,1,0
2020年05.29,358,0,355,0,1,0
2020年05.30,358,0,355,0,1,0
2020年05.31,358,0,356,1,1,0
2020年06.01,358,0,356,0,1,0
2020年06.02,358,0,356,0,1,0
2020年06.03,358,0,356,0,1,0
2020年06.04,358,0,356,0,1,0
2020年06.05,358,0,356,0,1,0
2020年06.06,359,1,356,0,1,0
2020年06.07,359,0,356,0,1,0
2020年06.08,359,0,356,0,1,0
2020年06.09,359,0,356,0,1,0
2020年06.10,360,1,356,0,1,0
2020年06.11,361,1,356,0,1,0
2020年06.12,361,0,356,0,1,0
2020年06.13,361,0,356,0,1,0
2020年06.14,362,1,356,0,1,0
2020年06.15,362,0,356,0,1,0
2020年06.16,362,0,356,0,1,0
2020年06.17,362,0,356,0,1,0
2020年06.18,362,0,357,1,1,0
2020年06.19,362,0,357,0,1,0
2020年06.20,363,1,357,0,1,0
2020年06.21,363,0,357,0,1,0
2020年06.22,363,0,357,0,1,0
2020年06.23,363,0,357,0,1,0
2020年06.24,363,0,357,0,1,0
2020年06.25,363,0,357,0,1,0
2020年06.26,363,0,357,0,1,0
2020年06.27,363,0,357,0,1,0
2020年06.28,363,0,357,0,1,0
2020年06.29,363,0,357,0,1,0
2020年06.30,363,0,359,2,1,0
2020年07.01,363,0,359,0,1,0
2020年07.02,363,0,359,0,1,0
2020年07.03,363,0,360,1,1,0
2020年07.04,363,0,360,0,1,0
2020年07.05,363,0,360,0,1,0
2020年07.06,363,0,360,0,1,0
2020年07.07,363,0,360,0,1,0
2020年07.08,363,0,360,0,1,0
2020年07.09,363,0,361,1,1,0
2020年07.10,363,0,361,0,1,0
2020年07.11,363,0,361,0,1,0
2020年07.12,363,0,361,0,1,0
2020年07.13,363,0,361,0,1,0
2020年07.14,363,0,361,0,1,0
2020年07.15,363,0,361,0,1,0
