日期,总确诊数,新增确诊数,总治愈数,新增治愈数,总死亡数,新增死亡数
﻿2020年01.23,3,0,0,0,0,0
2020年01.24,4,1,0,0,0,0
2020年01.25,5,1,0,0,0,0
2020年01.26,7,2,0,0,0,0
2020年01.27,9,2,0,0,0,0
2020年01.28,9,0,0,0,0,0
2020年01.29,12,3,0,0,0,0
2020年01.30,15,3,1,1,0,0
2020年01.31,29,14,2,1,0,0
2020年02.01,38,9,2,0,0,0
2020年02.02,46,8,2,0,0,0
2020年02.03,56,10,2,0,0,0
2020年02.04,64,8,5,3,0,0
2020年02.05,69,5,6,1,1,1
2020年02.06,77,8,6,0,1,0
2020年02.07,89,12,6,0,1,0
2020年02.08,96,7,7,1,1,0
2020年02.09,109,13,7,0,1,0
2020年02.10,118,9,10,3,1,0
2020年02.11,131,13,17,7,1,0
2020年02.12,135,4,20,3,1,0
2020年02.13,140,5,28,8,1,0
2020年02.14,143,3,33,5,1,0
2020年02.15,144,1,37,4,1,0
2020年02.16,146,2,47,10,1,0
2020年02.17,146,0,66,19,1,0
2020年02.18,146,0,69,3,2,1
2020年02.19,146,0,71,2,2,0
2020年02.20,146,0,76,5,2,0
2020年02.21,146,0,90,14,2,0
2020年02.22,146,0,91,1,2,0
2020年02.23,146,0,102,11,2,0
2020年02.24,146,0,103,1,2,0
2020年02.25,146,0,104,1,2,0
2020年02.26,146,0,112,8,2,0
2020年02.27,146,0,112,0,2,0
2020年02.28,146,0,112,0,2,0
2020年02.29,146,0,112,0,2,0
2020年03.01,146,0,114,2,2,0
2020年03.02,146,0,114,0,2,0
2020年03.03,146,0,114,0,2,0
2020年03.04,146,0,114,0,2,0
2020年03.05,146,0,114,0,2,0
2020年03.06,146,0,115,1,2,0
2020年03.07,146,0,117,2,2,0
2020年03.08,146,0,123,6,2,0
2020年03.09,146,0,129,6,2,0
2020年03.10,146,0,133,4,2,0
2020年03.11,146,0,133,0,2,0
2020年03.12,146,0,140,7,2,0
2020年03.13,146,0,143,3,2,0
2020年03.14,146,0,143,0,2,0
2020年03.15,146,0,143,0,2,0
2020年03.16,146,0,144,1,2,0
2020年03.17,146,0,144,0,2,0
2020年03.18,146,0,144,0,2,0
2020年03.19,146,0,144,0,2,0
2020年03.20,146,0,144,0,2,0
2020年03.21,146,0,144,0,2,0
2020年03.22,146,0,144,0,2,0
2020年03.23,146,0,144,0,2,0
2020年03.24,146,0,144,0,2,0
2020年03.25,146,0,144,0,2,0
2020年03.26,146,0,144,0,2,0
2020年03.27,146,0,144,0,2,0
2020年03.28,147,1,144,0,2,0
2020年03.29,147,0,144,0,2,0
2020年03.30,147,0,144,0,2,0
2020年03.31,147,0,144,0,2,0
2020年04.02,147,0,144,0,2,0
2020年04.03,147,0,144,0,2,0
2020年04.04,147,0,144,0,2,0
2020年04.05,147,0,144,0,2,0
2020年04.06,147,0,144,0,2,0
2020年04.07,147,0,144,0,2,0
2020年04.08,147,0,144,0,2,0
2020年04.09,147,0,144,0,2,0
2020年04.10,147,0,144,0,2,0
2020年04.11,147,0,144,0,2,0
2020年04.12,147,0,144,0,2,0
2020年04.13,147,0,144,0,2,0
2020年04.14,147,0,144,0,2,0
2020年04.15,147,0,144,0,2,0
2020年04.16,147,0,144,0,2,0
2020年04.17,147,0,144,0,2,0
2020年04.18,147,0,145,1,2,0
2020年04.19,147,0,145,0,2,0
2020年04.20,147,0,145,0,2,0
2020年04.21,147,0,145,0,2,0
2020年04.21,147,0,145,0,2,0
2020年04.22,147,0,145,0,2,0
2020年04.23,147,0,145,0,2,0
2020年04.24,147,0,145,0,2,0
2020年04.25,147,0,145,0,2,0
2020年04.26,147,0,145,0,2,0
2020年04.27,147,0,145,0,2,0
2020年04.28,147,0,145,0,2,0
2020年04.29,147,0,145,0,2,0
2020年04.30,147,0,145,0,2,0
2020年05.01,147,0,145,0,2,0
2020年05.02,147,0,145,0,2,0
2020年05.03,147,0,145,0,2,0
2020年05.04,147,0,145,0,2,0
2020年05.05,147,0,145,0,2,0
2020年05.06,147,0,145,0,2,0
2020年05.07,147,0,145,0,2,0
2020年05.08,147,0,145,0,2,0
2020年05.09,147,0,145,0,2,0
2020年05.10,147,0,145,0,2,0
2020年05.11,147,0,145,0,2,0
2020年05.12,147,0,145,0,2,0
2020年05.13,147,0,145,0,2,0
2020年05.14,147,0,145,0,2,0
2020年05.15,147,0,145,0,2,0
2020年05.16,147,0,145,0,2,0
2020年05.17,147,0,145,0,2,0
2020年05.18,147,0,145,0,2,0
2020年05.19,147,0,145,0,2,0
2020年05.20,147,0,145,0,2,0
2020年05.21,147,0,145,0,2,0
2020年05.22,147,0,145,0,2,0
2020年05.23,147,0,145,0,2,0
2020年05.24,147,0,145,0,2,0
2020年05.25,147,0,145,0,2,0
2020年05.26,147,0,145,0,2,0
2020年05.27,147,0,145,0,2,0
2020年05.28,147,0,145,0,2,0
2020年05.29,147,0,145,0,2,0
2020年05.30,147,0,145,0,2,0
2020年05.31,147,0,145,0,2,0
2020年06.01,147,0,145,0,2,0
2020年06.02,147,0,145,0,2,0
2020年06.03,147,0,145,0,2,0
2020年06.04,147,0,145,0,2,0
2020年06.05,147,0,145,0,2,0
2020年06.06,147,0,145,0,2,0
2020年06.07,147,0,145,0,2,0
2020年06.08,147,0,145,0,2,0
2020年06.09,147,0,145,0,2,0
2020年06.10,147,0,145,0,2,0
2020年06.11,147,0,145,0,2,0
2020年06.12,147,0,145,0,2,0
2020年06.13,147,0,145,0,2,0
2020年06.14,147,0,145,0,2,0
2020年06.15,147,0,145,0,2,0
