日期,总确诊数,新增确诊数,总治愈数,新增治愈数,总死亡数,新增死亡数
﻿2020年02.01,64,0,1,0,0,0
2020年02.02,70,1,1,0,0,0
2020年02.03,73,3,2,1,1,1
2020年02.04,75,5,2,0,0,-1
2020年02.06,95,6,6,4,0,0
2020年02.07,103,4,7,1,0,0
2020年02.08,105,6,12,5,0,0
2020年02.09,107,2,12,0,0,0
2020年02.10,111,3,10,-2,0,0
2020年02.11,116,8,19,9,0,0
2020年02.12,116,8,20,1,1,1
2020年02.13,117,1,22,2,1,0
2020年02.14,119,3,29,7,1,0
2020年02.15,120,1,32,3,1,0
2020年02.16,121,1,41,9,1,0
2020年02.17,121,0,43,2,1,0
2020年02.18,121,0,55,12,1,0
2020年02.19,121,0,58,3,1,0
2020年02.20,121,0,61,3,1,0
2020年02.21,121,0,66,5,1,0
2020年02.22,121,0,68,2,1,0
2020年02.23,121,0,73,5,1,0
2020年02.24,121,0,83,10,1,0
2020年02.25,121,0,88,5,1,0
2020年02.26,121,0,92,4,1,0
2020年02.27,121,0,93,1,1,0
2020年02.28,121,0,93,0,1,0
2020年02.29,122,1,101,8,1,0
2020年03.01,122,1,103,2,1,0
2020年03.02,125,3,103,0,1,0
2020年03.03,125,0,106,3,1,0
2020年03.04,125,0,106,0,1,0
2020年03.05,125,0,106,0,1,0
2020年03.06,125,0,106,0,1,0
2020年03.07,125,0,108,2,1,0
2020年03.08,125,0,109,1,1,0
2020年03.09,125,0,110,1,1,0
2020年03.10,125,0,111,1,1,0
2020年03.11,125,0,111,0,1,0
2020年03.12,125,0,112,1,1,0
2020年03.13,125,0,113,1,1,0
2020年03.14,125,0,113,0,1,0
2020年03.15,125,0,114,1,1,0
2020年03.16,125,0,119,5,1,0
2020年03.17,125,0,122,3,1,0
2020年03.18,125,0,122,0,1,0
2020年03.19,125,0,122,0,1,0
2020年03.20,126,1,122,0,2,1
2020年03.21,126,0,122,0,2,0
2020年03.22,127,1,124,2,2,0
2020年03.23,127,0,124,0,2,0
2020年03.24,127,0,124,0,2,0
2020年03.25,127,0,124,0,2,0
2020年03.26,128,1,124,0,2,0
2020年03.27,131,3,124,0,2,0
2020年03.28,134,3,124,0,2,0
2020年03.29,136,2,124,0,2,0
2020年03.30,139,3,124,0,2,0
2020年03.31,140,1,124,0,2,0
2020年04.01,140,0,124,0,2,0
2020年04.02,141,1,124,0,2,0
2020年04.03,141,0,125,1,2,0
2020年04.04,142,0,126,1,2,0
2020年04.05,142,0,128,2,2,0
2020年04.06,144,2,130,2,2,0
2020年04.07,144,0,131,1,2,0
2020年04.08,144,0,131,0,2,0
2020年04.09,144,0,132,1,2,0
2020年04.10,145,1,133,1,2,0
2020年04.11,145,0,136,3,2,0
2020年04.12,145,0,136,0,2,0
2020年04.13,145,0,138,2,2,0
2020年04.14,145,0,138,0,2,0
2020年04.15,145,0,138,0,2,0
2020年04.16,146,1,140,2,2,0
2020年04.17,146,0,142,2,2,0
2020年04.18,146,0,142,0,2,0
2020年04.19,146,0,143,1,2,0
2020年04.20,146,0,143,0,2,0
2020年04.21,146,0,143,0,2,0
2020年04.22,146,0,143,0,2,0
2020年04.23,146,0,143,0,2,0
2020年04.24,146,0,143,0,2,0
2020年04.25,146,0,143,0,2,0
2020年04.26,146,0,143,0,2,0
2020年04.27,146,0,143,0,2,0
2020年04.28,146,0,143,0,2,0
2020年04.29,146,0,143,0,2,0
2020年04.30,146,0,143,0,2,0
2020年05.01,146,0,144,1,2,0
2020年05.02,146,0,144,0,2,0
2020年05.03,146,0,144,0,2,0
2020年05.04,146,0,144,0,2,0
2020年05.05,146,0,144,0,2,0
2020年05.06,146,0,144,0,2,0
2020年05.07,146,0,144,0,2,0
2020年05.08,146,0,144,0,2,0
2020年05.09,146,0,144,0,2,0
2020年05.10,147,1,144,0,2,0
2020年05.11,147,0,144,0,2,0
2020年05.12,147,0,144,0,2,0
2020年05.13,149,2,144,0,2,0
2020年05.14,149,0,144,0,2,0
2020年05.15,149,0,144,0,2,0
2020年05.16,149,0,144,0,2,0
2020年05.17,149,0,144,0,2,0
2020年05.18,149,0,144,0,2,0
2020年05.19,149,0,144,0,2,0
2020年05.20,149,0,144,0,2,0
2020年05.21,149,0,144,0,2,0
2020年05.22,149,0,144,0,2,0
2020年05.23,149,0,144,0,2,0
2020年05.24,149,0,145,1,2,0
2020年05.25,149,0,147,2,2,0
2020年05.26,149,0,147,0,2,0
2020年05.27,149,0,147,0,2,0
2020年05.28,149,0,147,0,2,0
2020年05.29,149,0,147,0,2,0
2020年05.30,149,0,147,0,2,0
2020年05.31,149,0,147,0,2,0
2020年06.01,149,0,147,0,2,0
2020年06.02,149,0,147,0,2,0
2020年06.03,149,0,147,0,2,0
2020年06.04,149,0,147,0,2,0
2020年06.05,149,0,147,0,2,0
2020年06.06,149,0,147,0,2,0
2020年06.07,149,0,147,0,2,0
2020年06.08,149,0,147,0,2,0
