日期,总确诊数,新增确诊数,总治愈数,新增治愈数,总死亡数,新增死亡数
﻿2020年01.21,6,0,0,0,0,0
2020年01.22,9,3,0,0,0,0
2020年01.23,27,18,0,0,0,0
2020年01.24,58,30,0,0,0,0
2020年01.25,75,18,0,0,0,0
2020年01.26,110,35,0,0,0,0
2020年01.27,132,22,0,0,0,0
2020年01.28,147,15,0,0,0,0
2020年01.29,165,18,1,1,0,0
2020年01.30,206,41,1,0,0,0
2020年01.31,238,32,1,0,1,1
2020年02.01,262,24,3,2,1,0
2020年02.02,300,38,7,4,2,1
2020年02.03,337,37,9,2,2,0
2020年02.04,366,29,14,5,2,0
2020年02.05,390,24,15,1,2,0
2020年02.06,411,22,24,9,2,0
2020年02.07,426,15,31,7,2,0
2020年02.08,446,20,39,8,2,0
2020年02.09,468,22,51,12,2,0
2020年02.10,473,5,60,9,2,0
2020年02.11,505,19,79,19,3,1
2020年02.12,518,13,102,23,3,0
2020年02.13,529,11,128,26,4,1
2020年02.14,537,8,152,24,5,1
2020年02.15,544,7,184,32,5,0
2020年02.16,551,7,207,23,5,0
2020年02.17,553,2,225,18,5,0
2020年02.18,553,2,254,29,5,0
2020年02.19,560,5,274,20,5,0
2020年02.20,567,7,299,25,6,1
2020年02.21,572,5,316,17,6,0
2020年02.22,573,1,328,12,6,0
2020年02.23,575,2,335,7,6,0
2020年02.24,576,1,349,14,6,0
2020年02.25,576,0,372,23,6,0
2020年02.26,576,0,384,12,6,0
2020年02.27,576,0,401,17,6,0
2020年02.28,576,0,422,21,6,0
2020年02.29,576,0,438,16,6,0
2020年03.01,576,0,450,12,6,0
2020年03.02,576,0,469,19,6,0
2020年03.03,576,0,490,21,6,0
2020年03.04,576,0,502,12,6,0
2020年03.05,576,0,502,0,6,0
2020年03.06,576,0,520,18,6,0
2020年03.07,576,0,526,6,6,0
2020年03.08,576,0,527,1,6,0
2020年03.09,576,0,542,15,6,0
2020年03.10,576,0,547,5,6,0
2020年03.11,576,0,554,7,6,0
2020年03.12,576,0,564,10,6,0
2020年03.13,576,0,566,2,6,0
2020年03.14,576,0,569,3,6,0
2020年03.15,576,0,570,1,6,0
2020年03.16,576,0,570,0,6,0
2020年03.17,576,0,570,0,6,0
2020年03.18,576,0,570,0,6,0
2020年03.19,576,0,570,0,6,0
2020年03.20,576,0,570,0,6,0
2020年03.21,577,1,570,0,6,0
2020年03.22,577,0,570,0,6,0
2020年03.23,578,1,570,0,6,0
2020年03.24,578,0,570,0,6,0
2020年03.25,578,0,570,0,6,0
2020年03.26,578,0,570,0,6,0
2020年03.27,578,0,570,0,6,0
2020年03.28,579,1,570,0,6,0
2020年03.29,579,0,570,0,6,0
2020年03.30,579,0,570,0,6,0
2020年03.31,579,0,570,0,6,0
2020年04.01,579,0,570,0,6,0
2020年04.02,579,0,570,0,6,0
2020年04.03,579,0,570,0,6,0
2020年04.04,579,0,570,0,6,0
2020年04.05,579,0,570,0,6,0
2020年04.06,579,0,570,0,6,0
2020年04.07,579,0,570,0,6,0
2020年04.08,579,0,570,0,6,0
2020年04.09,579,0,570,0,6,0
2020年04.10,579,0,570,0,6,0
2020年04.11,579,0,570,0,6,0
2020年04.12,579,0,570,0,6,0
2020年04.13,579,0,570,0,6,0
2020年04.14,579,0,570,0,6,0
2020年04.15,579,0,570,0,6,0
2020年04.16,579,0,570,0,6,0
2020年04.17,579,0,570,0,6,0
2020年04.18,579,0,570,0,6,0
2020年04.19,579,0,570,0,6,0
2020年04.20,579,0,570,0,6,0
2020年04.21,579,0,570,0,6,0
2020年04.22,579,0,570,0,6,0
2020年04.23,579,0,573,3,6,0
2020年04.24,579,0,573,0,6,0
2020年04.25,579,0,573,0,6,0
2020年04.26,579,0,573,0,6,0
2020年04.27,579,0,573,0,6,0
2020年04.28,579,0,573,0,6,0
2020年04.29,579,0,573,0,6,0
2020年04.30,579,0,573,0,6,0
2020年05.01,579,0,573,0,6,0
2020年05.02,579,0,573,0,6,0
2020年05.03,579,0,573,0,6,0
2020年05.04,579,0,573,0,6,0
2020年05.05,579,0,573,0,6,0
2020年05.06,579,0,573,0,6,0
2020年05.07,579,0,573,0,6,0
2020年05.08,579,0,573,0,6,0
2020年05.09,579,0,573,0,6,0
2020年05.10,579,0,573,0,6,0
2020年05.11,579,0,573,0,6,0
