日期,总确诊数,新增确诊数,总治愈数,新增治愈数,总死亡数,新增死亡数
﻿2020年01.20,0,0,0,0,0,0
2020年01.21,0,0,0,0,0,0
2020年01.22,0,0,0,0,0,0
2020年01.23,0,0,0,0,0,0
2020年01.24,1,0,0,0,0,0
2020年01.25,1,1,0,0,0,0
2020年01.26,4,3,0,0,0,0
2020年01.27,6,2,0,0,0,0
2020年01.28,6,0,0,0,0,0
2020年01.29,6,0,0,0,0,0
2020年01.30,8,2,0,0,0,0
2020年01.31,9,1,0,0,0,0
2020年02.01,9,0,0,0,0,0
2020年02.02,13,4,0,0,0,0
2020年02.03,15,2,0,0,0,0
2020年02.04,17,2,0,0,0,0
2020年02.05,18,1,3,3,0,0
2020年02.06,18,0,3,0,0,0
2020年02.07,18,0,18,15,0,0
2020年02.08,18,0,18,0,0,0
2020年02.09,18,0,3,-15,0,0
2020年02.10,18,0,3,0,0,0
2020年02.11,18,0,5,2,0,0
2020年02.12,18,0,9,4,0,0
2020年02.13,18,0,11,2,0,0
2020年02.14,18,0,11,0,0,0
2020年02.15,18,0,13,2,0,0
2020年02.16,18,0,13,0,0,0
2020年02.17,18,0,13,0,0,0
2020年02.18,18,0,15,2,0,0
2020年02.19,18,0,16,1,0,0
2020年02.20,18,0,16,0,0,0
2020年02.21,18,0,18,2,0,0
2020年02.22,18,0,18,0,0,0
2020年02.23,18,0,18,0,0,0
2020年02.24,18,0,18,0,0,0
2020年02.25,18,0,18,0,0,0
2020年02.26,18,0,18,0,0,0
2020年02.27,18,0,18,0,0,0
2020年02.28,18,0,18,0,0,0
2020年02.29,18,0,18,0,0,0
2020年03.01,18,0,18,0,0,0
2020年03.02,18,0,18,0,0,0
2020年03.03,18,0,18,0,0,0
2020年03.04,18,0,18,0,0,0
2020年03.05,18,0,18,0,0,0
2020年03.06,18,0,18,0,0,0
2020年03.07,18,0,18,0,0,0
2020年03.08,18,0,18,0,0,0
2020年03.09,18,0,18,0,0,0
2020年03.10,18,0,18,0,0,0
2020年03.11,18,0,18,0,0,0
2020年03.12,18,0,18,0,0,0
2020年03.13,18,0,18,0,0,0
2020年03.14,18,0,18,0,0,0
2020年03.15,18,0,18,0,0,0
2020年03.16,18,0,18,0,0,0
2020年03.17,18,0,18,0,0,0
2020年03.18,18,0,18,0,0,0
2020年03.19,18,0,18,0,0,0
2020年03.20,18,0,18,0,0,0
2020年03.21,18,0,18,0,0,0
2020年03.22,18,0,18,0,0,0
2020年03.23,18,0,18,0,0,0
2020年03.24,18,0,18,0,0,0
2020年03.25,18,0,18,0,0,0
2020年03.26,18,0,18,0,0,0
2020年03.27,18,0,18,0,0,0
2020年03.28,18,0,18,0,0,0
2020年03.29,18,0,18,0,0,0
2020年03.30,18,0,18,0,0,0
2020年03.31,18,0,18,0,0,0
2020年04.01,18,0,18,0,0,0
2020年04.02,18,0,18,0,0,0
2020年04.03,18,0,18,0,0,0
2020年04.04,18,0,18,0,0,0
2020年04.05,18,0,18,0,0,0
2020年04.06,18,0,18,0,0,0
2020年04.07,18,0,18,0,0,0
2020年04.08,18,0,18,0,0,0
2020年04.09,18,0,18,0,0,0
2020年04.10,18,0,18,0,0,0
2020年04.11,18,0,18,0,0,0
2020年04.12,18,0,18,0,0,0
2020年04.13,18,0,18,0,0,0
2020年04.14,18,0,18,0,0,0
2020年04.15,18,0,18,0,0,0
2020年04.16,18,0,18,0,0,0
2020年04.17,18,0,18,0,0,0
2020年04.18,18,0,18,0,0,0
2020年04.19,18,0,18,0,0,0
2020年04.20,18,0,18,0,0,0
2020年04.21,18,0,18,0,0,0
2020年04.22,18,0,18,0,0,0
2020年04.23,18,0,18,0,0,0
2020年04.24,18,0,18,0,0,0
2020年04.25,18,0,18,0,0,0
2020年04.26,18,0,18,0,0,0
2020年04.27,18,0,18,0,0,0
2020年04.28,18,0,18,0,0,0
2020年04.29,18,0,18,0,0,0
2020年04.30,18,0,18,0,0,0
2020年05.01,18,0,18,0,0,0
2020年05.02,18,0,18,0,0,0
2020年05.03,18,0,18,0,0,0
2020年05.04,18,0,18,0,0,0
2020年05.05,18,0,18,0,0,0
2020年05.06,18,0,18,0,0,0
2020年05.07,18,0,18,0,0,0
2020年05.08,18,0,18,0,0,0
2020年05.09,18,0,18,0,0,0
2020年05.10,18,0,18,0,0,0
2020年05.11,18,0,18,0,0,0
2020年05.12,18,0,18,0,0,0
2020年05.13,18,0,18,0,0,0
2020年05.14,18,0,18,0,0,0
2020年05.15,18,0,18,0,0,0
2020年05.16,18,0,18,0,0,0
2020年05.17,18,0,18,0,0,0
2020年05.18,18,0,18,0,0,0
2020年05.19,18,0,18,0,0,0
2020年05.20,18,0,18,0,0,0
2020年05.21,18,0,18,0,0,0
2020年05.22,18,0,18,0,0,0
2020年05.23,18,0,18,0,0,0
2020年05.24,18,0,18,0,0,0
2020年05.25,18,0,18,0,0,0
2020年05.26,18,0,18,0,0,0
2020年05.27,18,0,18,0,0,0
2020年05.28,18,0,18,0,0,0
2020年05.29,18,0,18,0,0,0
2020年05.30,18,0,18,0,0,0
2020年05.31,18,0,18,0,0,0
2020年06.01,18,0,18,0,0,0
2020年06.02,18,0,18,0,0,0
2020年06.03,18,0,18,0,0,0
2020年06.04,18,0,18,0,0,0
2020年06.05,18,0,18,0,0,0
2020年06.06,18,0,18,0,0,0
2020年06.07,18,0,18,0,0,0
2020年06.08,18,0,18,0,0,0
2020年06.09,18,0,18,0,0,0
