日期,总确诊数,新增确诊数,总治愈数,新增治愈数,总死亡数,新增死亡数
﻿2020年01.31,80,0,0,0,0,0
2020年02.01,95,15,2,2,0,0
2020年02.02,118,23,2,0,0,0
2020年02.03,155,37,2,0,0,0
2020年02.04,190,35,4,2,0,0
2020年02.05,227,37,7,3,1,1
2020年02.06,277,50,8,1,3,2
2020年02.07,295,19,12,4,5,2
2020年02.08,307,26,13,1,6,1
2020年02.09,331,24,15,2,7,1
2020年02.10,360,29,27,12,8,1
2020年02.11,378,18,28,1,8,0
2020年02.12,395,17,31,3,9,1
2020年02.13,418,23,37,6,11,2
2020年02.14,425,7,48,11,11,0
2020年02.15,445,20,70,22,11,0
2020年02.16,457,12,80,10,11,0
2020年02.17,464,7,85,5,11,0
2020年02.18,470,6,108,23,12,1
2020年02.19,476,6,123,15,12,0
2020年02.20,479,3,141,18,12,0
2020年02.21,479,0,183,42,12,0
2020年02.22,480,1,215,32,12,0
2020年02.23,480,0,224,9,12,0
2020年02.24,480,0,232,8,12,0
2020年02.25,480,0,245,13,12,0
2020年02.26,480,0,262,17,13,1
2020年02.27,480,0,280,18,13,0
2020年02.28,480,0,295,15,13,0
2020年02.29,480,0,330,35,13,0
2020年03.01,480,0,350,20,13,0
2020年03.02,480,0,358,8,13,0
2020年03.03,480,0,372,14,13,0
2020年03.04,481,1,379,7,13,0
2020年03.05,481,0,380,1,13,0
2020年03.06,481,0,402,22,13,0
2020年03.07,481,0,409,7,13,0
2020年03.08,481,0,421,12,13,0
2020年03.09,481,0,434,13,13,0
2020年03.10,482,1,435,1,13,0
2020年03.11,482,0,440,5,13,0
2020年03.12,482,0,446,6,13,0
2020年03.13,482,0,447,1,13,0
2020年03.14,482,0,453,6,13,0
2020年03.15,482,0,454,1,13,0
2020年03.16,482,0,456,2,13,0
2020年03.17,482,0,459,3,13,0
2020年03.18,482,0,459,0,13,0
2020年03.19,484,1,463,4,13,0
2020年03.20,484,0,463,0,13,0
2020年03.21,484,0,463,0,13,0
2020年03.22,484,0,465,2,13,0
2020年03.23,484,0,468,3,13,0
2020年03.24,484,0,468,0,13,0
2020年03.25,484,0,469,1,13,0
2020年03.26,484,0,469,0,13,0
2020年03.27,484,0,469,0,13,0
2020年03.28,484,0,469,0,13,0
2020年03.29,484,0,469,0,13,0
2020年03.30,484,0,469,0,13,0
2020年03.31,484,0,469,0,13,0
2020年04.01,488,4,469,0,13,0
2020年04.02,489,1,469,0,13,0
